,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Overlee,5,0,0,1284.5,214.0,711.3,2209.8
Chesterbrook,4,1,0,1215.0,220.0,680.0,2115.0
McLean,3,2,0,1081.0,144.0,455.0,1680.0
Tuckahoe,2,3,0,1080.0,170.0,494.0,1744.0
Highlands Swim,1,4,0,995.0,132.0,408.0,1535.0
Hamlet,0,5,0,644.5,84.0,138.0,866.5
Wakefield Chapel,5,0,0,1326.5,229.0,552.0,2107.5
Hunter Mill,4,1,0,1198.0,189.0,343.3,1730.3
Hunt Valley,3,2,0,1002.0,144.0,260.0,1406.0
Donaldson Run,2,3,0,1055.0,142.0,230.0,1427.0
Vienna Aquatic,1,4,0,902.5,138.0,156.0,1196.5
Lakevale Estates,0,5,0,811.0,120.0,178.0,1109.0
Little Rocky Run,5,0,0,1155.5,180.0,150.0,1485.5
Mount Vernon Park,4,1,0,1128.5,180.0,205.3,1513.8
Vienna Woods,3,2,0,1100.5,168.0,176.0,1444.5
Fairfax,2,3,0,1079.5,154.0,190.0,1423.5
Dunn Loring,1,4,0,969.0,162.0,145.0,1276.0
Fairfax Station,0,5,0,862.0,112.0,34.0,1008.0
Langley,5,0,0,1234.5,188.0,124.0,1546.5
Lee Graham,4,1,0,1175.5,212.0,144.0,1531.5
Pinecrest,2,3,0,1109.0,156.0,136.0,1401.0
Virginia Run,2,3,0,1035.0,136.0,60.0,1231.0
Poplar Tree,2,3,0,932.0,148.0,116.0,1196.0
Riverside Gardens,0,5,0,809.0,126.0,42.0,977.0
Ravensworth Farm,5,0,0,1198.0,192.0,154.0,1544.0
Crosspointe,4,1,0,1185.5,180.0,132.0,1497.5
Oakton,2,3,0,1006.5,168.0,106.0,1280.5
Dowden Terrace,2,3,0,1017.0,140.0,102.0,1259.0
Cardinal Hill,2,3,0,1040.0,140.0,10.0,1190.0
Sully Station,0,5,0,852.0,140.0,98.0,1090.0
Cottontail,5,0,0,1164.5,140.0,32.0,1336.5
Sleepy Hollow B & R,4,1,0,1109.0,200.0,42.0,1351.0
Mantua,2,2,1,1039.0,162.0,80.0,1281.0
Greenbriar,2,3,0,1015.0,166.0,50.0,1231.0
Mosby Woods,1,4,0,983.0,162.0,108.0,1253.0
Hollin Meadows,0,4,1,969.5,114.0,54.0,1137.5
High Point Pool,5,0,0,1192.0,184.0,140.0,1516.0
Fair Oaks,4,1,0,1223.0,170.0,42.0,1435.0
Mansion House,3,2,0,1096.0,140.0,72.0,1308.0
Villa Aquatic,2,3,0,1061.0,192.0,76.0,1329.0
Poplar Heights,1,4,0,837.5,116.0,58.0,1011.5
Forest Hollow,0,5,0,882.5,146.0,44.0,1072.5
Kent Gardens,5,0,0,1214.5,184.0,56.0,1454.5
Arlington Forest,4,1,0,1116.5,200.0,78.0,1394.5
Dominion Hills,3,2,0,1145.0,172.0,36.0,1353.0
Waynewood,2,3,0,1022.5,102.0,54.0,1178.5
Sideburn Run,1,4,0,925.0,166.0,34.0,1125.0
Holmes Run Acres,0,5,0,865.5,126.0,40.0,1031.5
Fox Mill Estates,4,1,0,1199.0,172.0,8.0,1379.0
Highland Park,4,1,0,1141.0,158.0,44.0,1343.0
Great Falls,3,2,0,1080.0,174.0,32.0,1286.0
Fox Mill Woods,2,3,0,1083.5,154.0,44.0,1281.5
Sully Station II,2,3,0,1011.5,174.0,44.0,1229.5
Brandywine,0,5,0,746.0,92.0,0.0,838.0
Lakeview,5,0,0,1219.5,182.0,52.0,1453.5
Orange Hunt,4,1,0,1208.0,192.0,114.0,1514.0
Country Club Hills,3,2,0,1059.0,110.0,0.0,1169.0
South Run,2,3,0,944.0,170.0,14.0,1128.0
Rolling Forest,1,4,0,942.0,156.0,26.0,1124.0
Canterbury Woods,0,5,0,889.5,110.0,2.0,1001.5
Walden Glen,4,1,0,1171.0,188.0,492.0,1851.0
Camelot,4,1,0,1111.5,146.0,28.0,1285.5
Rutherford,3,2,0,1082.0,204.0,72.0,1358.0
Shouse Village,3,2,0,1003.5,122.0,188.0,1313.5
Laurel Hill,1,4,0,987.5,118.0,272.0,1377.5
Brookfield,0,5,0,899.5,126.0,194.0,1219.5
Hiddenbrook,5,0,0,1348.0,194.0,18.0,1560.0
Sleepy Hollow Rec,4,1,0,1169.0,186.0,64.0,1419.0
Somerset-Olde Creek,3,2,0,1051.0,162.0,266.0,1479.0
Stratford,2,3,0,904.5,108.0,0.0,1012.5
Hayfield Farm,1,4,0,947.0,134.0,146.0,1227.0
Kings Ridge,0,5,0,848.5,98.0,70.0,1016.5
Fairfax Club Estates,5,0,0,1186.0,184.0,224.0,1594.0
Virginia Hills,4,1,0,1154.0,204.0,270.0,1628.0
Fox Hunt,3,2,0,1060.0,128.0,124.0,1312.0
Long Branch,2,3,0,1069.0,156.0,0.0,1225.0
Annandale,1,4,0,931.0,136.0,196.0,1263.0
Woodley,0,5,0,868.0,118.0,136.0,1122.0
Springboard,5,0,0,1234.0,186.0,26.0,1446.0
Truro,4,1,0,1164.0,166.0,242.0,1572.0
Lake Braddock,2,3,0,1052.0,182.0,298.0,1532.0
Rolling Valley,2,3,0,989.0,162.0,110.0,1261.0
Hollin Hills,1,4,0,959.0,106.0,126.0,1191.0
Parliament,1,4,0,845.0,116.0,80.0,1041.0
Little Hunting Park,5,0,0,1167.0,154.0,90.0,1411.0
Old Keene Mill,4,1,0,1166.0,172.0,168.0,1506.0
Rolling Hills,3,2,0,1043.0,160.0,144.0,1347.0
Herndon,2,3,0,1087.0,78.0,12.0,1177.0
Daventry,1,4,0,945.0,186.0,0.0,1131.0
Commonwealth,0,5,0,855.0,154.0,122.0,1131.0
Ilda Community,4,1,0,1212.0,0.0,0.0,1212.0
Parklawn,4,1,0,1182.5,0.0,0.0,1182.5
Village West,4,1,0,1159.0,0.0,0.0,1159.0
Newington Forest,2,3,0,942.5,0.0,0.0,942.5
Burke Station,1,4,0,913.0,0.0,0.0,913.0
North Springfield,0,5,0,750.0,0.0,0.0,750.0
Lincolnia Park,5,0,0,1271.0,155.0,38.0,1464.0
Pleasant Valley,4,1,0,1118.0,136.0,0.0,1254.0
Broyhill Crest,3,2,0,999.0,92.0,0.0,1091.0
Springfield,2,3,0,839.0,141.0,20.0,1000.0
Edsall Park,1,4,0,938.0,160.0,0.0,1098.0
Pinewood Lake,0,5,0,587.0,62.0,0.0,649.0
