,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,3,0,0,736.0,0.0,0.0,736.0
Fairfax Station,3,0,0,693.5,0.0,0.0,693.5
Tuckahoe,2,1,0,617.0,0.0,0.0,617.0
Overlee,1,2,0,601.0,0.0,0.0,601.0
Hamlet,0,3,0,493.0,0.0,0.0,493.0
Vienna Woods,0,3,0,477.5,0.0,0.0,477.5
Vienna Aquatic,2,0,0,500.5,0.0,0.0,500.5
Virginia Run,2,0,0,470.0,0.0,0.0,470.0
Pinecrest,2,1,0,577.0,0.0,0.0,577.0
Cardinal Hill,0,2,0,328.5,0.0,0.0,328.5
Lee Graham,0,3,0,536.0,0.0,0.0,536.0
Little Rocky Run,2,0,0,437.0,0.0,0.0,437.0
Orange Hunt,2,1,0,623.5,0.0,0.0,623.5
Oakton,1,1,0,423.0,0.0,0.0,423.0
Dunn Loring,1,1,0,397.0,0.0,0.0,397.0
Donaldson Run,0,3,0,531.5,0.0,0.0,531.5
Hunter Mill,3,0,0,678.5,0.0,0.0,678.5
South Run,2,1,0,633.0,0.0,0.0,633.0
Poplar Heights,2,1,0,579.0,0.0,0.0,579.0
Waynewood,1,2,0,621.5,0.0,0.0,621.5
Sideburn Run,1,2,0,539.0,0.0,0.0,539.0
Sleepy Hollow Rec,0,3,0,566.0,0.0,0.0,566.0
Sully Station,3,0,0,784.0,0.0,0.0,784.0
Wakefield Chapel,3,0,0,687.0,0.0,0.0,687.0
Highlands Swim,1,2,0,572.0,0.0,0.0,572.0
Crosspointe,1,2,0,571.0,0.0,0.0,571.0
Hayfield Farm,1,2,0,481.0,0.0,0.0,481.0
Ravensworth Farm,0,3,0,520.0,0.0,0.0,520.0
Sleepy Hollow B & R,3,0,0,752.0,0.0,0.0,752.0
Daventry,2,1,0,635.0,0.0,0.0,635.0
Hunt Valley,2,1,0,623.0,0.0,0.0,623.0
Forest Hollow,1,2,0,576.0,0.0,0.0,576.0
Mantua,1,2,0,551.0,0.0,0.0,551.0
Poplar Tree,0,3,0,473.0,0.0,0.0,473.0
McLean,3,0,0,668.0,0.0,0.0,668.0
Fox Mill Woods,2,1,0,646.0,0.0,0.0,646.0
Riverside Gardens,2,1,0,624.0,0.0,0.0,624.0
Herndon,2,1,0,613.0,0.0,0.0,613.0
Hiddenbrook,0,3,0,530.0,0.0,0.0,530.0
Cottontail,0,3,0,525.0,0.0,0.0,525.0
Country Club Hills,3,0,0,698.0,0.0,0.0,698.0
Mansion House,3,0,0,644.0,0.0,0.0,644.0
High Point Pool,1,1,1,582.0,0.0,0.0,582.0
Brookfield,1,2,0,567.0,0.0,0.0,567.0
Commonwealth,0,2,1,555.0,0.0,0.0,555.0
Fairfax,0,3,0,572.0,0.0,0.0,572.0
Greenbriar,3,0,0,806.0,0.0,0.0,806.0
Kent Gardens,2,1,0,641.0,0.0,0.0,641.0
Walden Glen,1,2,0,589.5,0.0,0.0,589.5
Great Falls,1,2,0,569.0,0.0,0.0,569.0
Sully Station II,1,2,0,510.0,0.0,0.0,510.0
Springfield,1,2,0,487.5,0.0,0.0,487.5
Highland Park,3,0,0,665.0,0.0,0.0,665.0
Dominion Hills,2,1,0,647.0,0.0,0.0,647.0
Arlington Forest,1,2,0,600.0,0.0,0.0,600.0
Dowden Terrace,1,2,0,578.0,0.0,0.0,578.0
Fox Hunt,1,2,0,571.0,0.0,0.0,571.0
Rutherford,1,2,0,555.0,0.0,0.0,555.0
Villa Aquatic,3,0,0,710.0,0.0,0.0,710.0
Lakevale Estates,3,0,0,669.0,0.0,0.0,669.0
Canterbury Woods,2,1,0,638.0,0.0,0.0,638.0
Camelot,1,2,0,571.0,0.0,0.0,571.0
Old Keene Mill,0,3,0,523.0,0.0,0.0,523.0
Stratford,0,3,0,496.0,0.0,0.0,496.0
Mount Vernon Park,3,0,0,742.0,0.0,0.0,742.0
Langley,3,0,0,705.0,0.0,0.0,705.0
Rolling Hills,2,1,0,671.0,0.0,0.0,671.0
Rolling Forest,1,2,0,529.0,0.0,0.0,529.0
Woodley,0,3,0,499.0,0.0,0.0,499.0
Mosby Woods,0,3,0,446.0,0.0,0.0,446.0
Lakeview,3,0,0,623.0,0.0,0.0,623.0
Annandale,2,1,0,664.5,0.0,0.0,664.5
Royal Pool,2,1,0,661.0,0.0,0.0,661.0
Kings Ridge,1,2,0,629.5,0.0,0.0,629.5
Parklawn,1,2,0,512.0,0.0,0.0,512.0
Newington Forest,0,3,0,513.0,0.0,0.0,513.0
Fair Oaks,3,0,0,629.0,0.0,0.0,629.0
Fairfax Club Estates,2,1,0,626.5,0.0,0.0,626.5
Fox Mill Estates,1,1,0,420.5,0.0,0.0,420.5
Ilda Community,0,2,0,378.0,0.0,0.0,378.0
Holmes Run Acres,0,2,0,344.0,0.0,0.0,344.0
Shouse Village,3,0,0,721.0,0.0,0.0,721.0
Truro,2,0,0,453.0,0.0,0.0,453.0
Lake Braddock,1,1,0,398.0,0.0,0.0,398.0
Parliament,0,2,0,288.0,0.0,0.0,288.0
North Springfield,0,3,0,537.0,0.0,0.0,537.0
Springboard,3,0,0,639.0,0.0,0.0,639.0
Burke Station,3,0,0,636.0,0.0,0.0,636.0
Village West,2,1,0,654.0,0.0,0.0,654.0
Lincolnia Park,1,2,0,607.0,0.0,0.0,607.0
Virginia Hills,0,3,0,542.0,0.0,0.0,542.0
Little Hunting Park,0,3,0,524.0,0.0,0.0,524.0
Long Branch,3,0,0,807.0,0.0,0.0,807.0
Somerset-Olde Creek,3,0,0,656.0,0.0,0.0,656.0
Hollin Meadows,1,2,0,620.0,0.0,0.0,620.0
Broyhill Crest,1,2,0,526.0,0.0,0.0,526.0
Brandywine,1,2,0,505.0,0.0,0.0,505.0
Hollin Hills,0,3,0,400.0,0.0,0.0,400.0
Pleasant Valley,3,0,0,871.0,0.0,0.0,871.0
Rolling Valley,3,0,0,659.0,0.0,0.0,659.0
Edsall Park,2,1,0,661.0,0.0,0.0,661.0
Pinewood Lake,1,2,0,551.0,0.0,0.0,551.0
Bren Mar,0,3,0,351.0,0.0,0.0,351.0
Newington Station,0,3,0,244.0,0.0,0.0,244.0
