,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Forest Hollow,3,2,0,1081.0,148.0,34.0,1263.0
High Point Pool,3,2,0,1051.0,149.0,32.0,1232.0
Fox Mill Woods,1,4,0,987.0,152.0,82.0,1221.0
Shouse Village,0,5,0,783.0,88.0,0.0,871.0
Kent Gardens,4,1,0,1094.0,148.0,34.0,1276.0
Arlington Forest,3,2,0,1079.0,172.0,82.0,1333.0
Dominion Hills,3,2,0,1100.0,156.0,0.0,1256.0
Fox Mill Estates,2,3,0,1050.0,160.0,10.0,1220.0
Highland Park,2,3,0,984.0,150.0,26.0,1160.0
Rolling Forest,1,4,0,992.0,168.0,28.0,1188.0
Sideburn Run,5,0,0,1311.5,219.0,82.0,1612.5
Orange Hunt,3,2,0,1090.5,166.0,142.0,1398.5
Brandywine,3,2,0,1108.0,154.0,34.0,1296.0
Country Club Hills,3,2,0,1049.0,134.0,0.0,1183.0
Stratford,1,4,0,879.5,129.0,0.0,1008.5
Hayfield Farm,0,5,0,847.5,150.0,40.0,1037.5
South Run,4,1,0,1077.0,150.0,30.0,1257.0
Canterbury Woods,4,1,0,1036.0,128.0,0.0,1164.0
Walden Glen,3,2,0,1104.0,194.0,0.0,1298.0
Rutherford,3,2,0,1067.0,218.0,6.0,1291.0
Hiddenbrook,1,4,0,1081.0,144.0,4.0,1229.0
Fox Hunt,0,5,0,916.0,114.0,0.0,1030.0
Camelot,4,1,0,1181.5,200.0,14.0,1395.5
Laurel Hill,4,1,0,1128.0,172.0,0.0,1300.0
Brookfield,4,1,0,1121.0,174.0,0.0,1295.0
Kings Ridge,2,3,0,990.0,122.0,0.0,1112.0
Long Branch,1,4,0,964.5,124.0,0.0,1088.5
Truro,0,5,0,895.0,120.0,0.0,1015.0
Lakeview,5,0,0,1310.5,222.0,14.0,1546.5
Sleepy Hollow Rec,4,1,0,1235.0,192.0,96.0,1523.0
Woodley,3,2,0,1065.0,170.0,40.0,1275.0
Annandale,2,3,0,984.5,100.0,0.0,1084.5
Parliament,1,4,0,877.0,144.0,36.0,1057.0
Old Keene Mill,0,5,0,795.0,94.0,0.0,889.0
Somerset-Olde Creek,5,0,0,1130.5,160.0,0.0,1290.5
Lake Braddock,4,1,0,1112.0,154.0,0.0,1266.0
Rolling Valley,3,2,0,1093.5,200.0,0.0,1293.5
Springboard,2,3,0,975.0,176.0,0.0,1151.0
Little Hunting Park,1,4,0,991.0,126.0,0.0,1117.0
Village West,0,5,0,949.0,98.0,0.0,1047.0
Fairfax Club Estates,5,0,0,1298.0,194.0,0.0,1492.0
Virginia Hills,4,1,0,1154.0,204.0,52.0,1410.0
Commonwealth,2,3,0,1066.0,176.0,0.0,1242.0
Rolling Hills,2,3,0,967.0,114.0,0.0,1081.0
Ilda Community,1,4,0,874.0,106.0,0.0,980.0
Newington Forest,1,4,0,850.0,128.0,0.0,978.0
Hollin Hills,5,0,0,1237.0,144.0,16.0,1397.0
Daventry,4,1,0,1119.0,230.0,0.0,1349.0
Parklawn,2,3,0,1034.0,104.0,0.0,1138.0
Burke Station,2,3,0,955.0,134.0,0.0,1089.0
Lincolnia Park,1,4,0,917.0,116.0,0.0,1033.0
Pleasant Valley,1,4,0,871.0,98.0,0.0,969.0
Herndon,5,0,0,1454.0,247.0,0.0,1701.0
North Springfield,4,1,0,1180.0,177.0,0.0,1357.0
Broyhill Crest,3,2,0,1040.0,102.0,0.0,1142.0
Bren Mar-Edsall Park,2,3,0,940.0,102.0,0.0,1042.0
Pinewood Lake,1,4,0,715.0,92.0,0.0,807.0
Springfield,0,5,0,722.0,70.0,0.0,792.0
