,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Overlee,5,0,0,1206.0,192.0,698.0,2096.0
Chesterbrook,4,1,0,1221.0,188.0,518.0,1927.0
Tuckahoe,3,2,0,1060.5,160.0,424.0,1644.5
McLean,2,3,0,1025.5,180.0,532.0,1737.5
Highlands Swim,1,4,0,976.0,128.0,346.0,1450.0
Wakefield Chapel,0,5,0,811.0,116.0,342.0,1269.0
Hamlet,5,0,0,1135.0,180.0,270.0,1585.0
Hunt Valley,4,1,0,1153.0,166.0,268.0,1587.0
Hunter Mill,3,2,0,1035.0,180.0,278.0,1493.0
Vienna Aquatic,1,3,1,1058.0,180.0,210.0,1448.0
Lakevale Estates,1,3,1,1046.0,126.0,112.0,1284.0
Fairfax Station,0,5,0,873.0,134.0,113.0,1120.0
Donaldson Run,5,0,0,1174.5,192.0,214.0,1580.5
Little Rocky Run,3,2,0,1061.0,190.0,240.0,1491.0
Mount Vernon Park,3,2,0,1061.0,156.0,198.0,1415.0
Vienna Woods,3,2,0,1063.5,140.0,108.0,1311.5
Lee Graham,1,4,0,975.0,140.0,170.0,1285.0
Oakton,0,5,0,965.0,148.0,92.0,1205.0
Fairfax,4,1,0,1127.5,183.0,164.0,1474.5
Dunn Loring,4,1,0,1098.0,140.0,68.0,1306.0
Langley,2,2,1,1058.0,155.0,136.0,1349.0
Pinecrest,2,2,1,1014.0,156.0,119.0,1289.0
Ravensworth Farm,1,4,0,1038.0,168.0,165.0,1371.0
Cardinal Hill,1,4,0,963.5,144.0,106.0,1213.5
Riverside Gardens,5,0,0,1164.5,163.0,118.0,1445.5
Poplar Tree,4,1,0,1105.5,182.0,132.0,1419.5
Sully Station,3,2,0,1084.0,151.0,118.0,1353.0
Crosspointe,2,3,0,1111.0,190.0,142.0,1443.0
Mantua,1,4,0,986.0,142.0,26.0,1154.0
Sully Station II,0,5,0,838.0,110.0,13.0,961.0
Virginia Run,5,0,0,1236.0,192.0,166.0,1594.0
Mosby Woods,3,2,0,1092.0,188.0,184.0,1464.0
Cottontail,3,2,0,1080.5,138.0,68.0,1286.5
Hollin Meadows,3,2,0,1032.0,152.0,97.0,1281.0
Fair Oaks,1,4,0,974.0,144.0,0.0,1118.0
Poplar Heights,0,5,0,876.5,126.0,112.0,1114.5
Dowden Terrace,5,0,0,1198.0,202.0,86.0,1486.0
Greenbriar,4,1,0,1113.0,148.0,66.0,1327.0
Mansion House,3,2,0,1086.5,184.0,30.0,1300.5
Holmes Run Acres,2,3,0,1063.0,162.0,6.0,1231.0
Waynewood,1,4,0,992.0,146.0,62.0,1200.0
Great Falls,0,5,0,841.5,94.0,0.0,935.5
Sleepy Hollow B & R,5,0,0,1206.0,230.0,99.0,1535.0
Villa Aquatic,3,2,0,1175.0,167.0,66.0,1408.0
