,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1200.0,190.0,500.0,1890.0
Overlee,4,1,0,1137.0,190.0,542.0,1869.0
Tuckahoe,3,2,0,1161.0,164.0,506.0,1831.0
McLean,2,3,0,1065.0,182.0,604.0,1851.0
Highlands Swim,1,4,0,907.0,122.0,244.0,1273.0
Vienna Aquatic,0,5,0,826.0,116.0,280.0,1222.0
Fairfax Station,4,1,0,1109.0,154.0,190.0,1453.0
Hunt Valley,3,2,0,1102.0,172.0,202.0,1476.0
Lakevale Estates,3,2,0,1030.0,162.0,230.0,1422.0
Hamlet,3,2,0,1111.0,156.0,146.0,1413.0
Little Rocky Run,2,3,0,1036.0,164.0,182.0,1382.0
Oakton,0,5,0,911.0,154.0,108.0,1173.0
Wakefield Chapel,5,0,0,1248.0,212.0,316.0,1776.0
Mount Vernon Park,3,2,0,1075.0,190.0,268.0,1533.0
Vienna Woods,2,3,0,1055.0,140.0,168.0,1363.0
Lee Graham,2,3,0,1005.0,159.0,140.0,1304.0
Donaldson Run,2,3,0,945.0,122.0,149.0,1216.0
Fairfax,1,4,0,971.0,145.0,184.0,1300.0
Hunter Mill,5,0,0,1333.0,222.0,321.0,1876.0
Dunn Loring,3,2,0,1041.0,140.0,204.0,1385.0
Langley,2,2,1,1063.0,166.0,116.0,1345.0
Sully Station II,2,3,0,1015.0,158.0,43.0,1216.0
Crosspointe,1,3,1,977.0,132.0,218.0,1327.0
Riverside Gardens,1,4,0,868.0,134.0,16.0,1018.0
Pinecrest,5,0,0,1234.0,184.0,134.0,1552.0
Cardinal Hill,4,1,0,1220.0,200.0,94.0,1514.0
Sully Station,3,2,0,1056.0,164.0,96.0,1316.0
Mosby Woods,2,3,0,983.0,168.0,146.0,1297.0
Poplar Heights,1,4,0,996.0,148.0,72.0,1216.0
Great Falls,0,5,0,807.0,92.0,30.0,929.0
Ravensworth Farm,5,0,0,1194.0,208.0,109.0,1511.0
Mantua,4,1,0,1146.0,158.0,82.0,1386.0
Virginia Run,3,2,0,1102.0,174.0,90.0,1366.0
Waynewood,2,3,0,970.0,156.0,62.0,1188.0
Fair Oaks,1,4,0,1021.0,120.0,57.0,1198.0
Forest Hollow,0,5,0,863.0,128.0,16.0,1007.0
Poplar Tree,5,0,0,1201.0,171.0,150.0,1522.0
Holmes Run Acres,3,2,0,1031.0,144.0,16.0,1191.0
Mansion House,2,3,0,1021.0,176.0,154.0,1351.0
Fox Mill Woods,2,3,0,1009.0,138.0,74.0,1221.0
Greenbriar,2,3,0,1064.0,138.0,14.0,1216.0
Sleepy Hollow B & R,1,4,0,965.0,165.0,95.0,1225.0
Hollin Meadows,5,0,0,1161.0,168.0,34.0,1363.0
Dowden Terrace,4,1,0,1157.0,196.0,150.0,1503.0
Highland Park,2,3,0,999.0,140.0,34.0,1173.0
Dominion Hills,2,3,0,981.0,136.0,56.0,1173.0
Sideburn Run,1,4,0,981.0,166.0,112.0,1259.0
Brandywine,1,4,0,1010.0,150.0,64.0,1224.0
Villa Aquatic,5,0,0,1199.0,180.0,64.0,1443.0
High Point Pool,4,1,0,1173.0,168.0,90.0,1431.0
Orange Hunt,2,3,0,991.0,158.0,66.0,1215.0
Country Club Hills,2,3,0,972.0,118.0,0.0,1090.0
Hayfield Farm,1,4,0,1001.0,186.0,32.0,1219.0
Stratford,1,4,0,933.0,122.0,0.0,1055.0
Cottontail,5,0,0,1301.0,208.0,4.0,1513.0
Shouse Village,4,1,0,1187.0,218.0,62.0,1467.0
Canterbury Woods,3,2,0,1033.0,120.0,0.0,1153.0
South Run,2,3,0,964.0,144.0,36.0,1144.0
Fox Hunt,1,4,0,963.0,116.0,0.0,1079.0
Parliament,0,5,0,829.0,152.0,48.0,1029.0
Kent Gardens,5,0,0,1182.0,168.0,54.0,1404.0
Rolling Forest,4,1,0,1112.0,162.0,42.0,1316.0
Fox Mill Estates,3,2,0,1124.0,168.0,8.0,1300.0
Arlington Forest,2,3,0,1137.0,198.0,58.0,1393.0
Brookfield,1,4,0,887.0,120.0,0.0,1007.0
Old Keene Mill,0,5,0,852.0,116.0,2.0,970.0
Rutherford,3,2,0,1144.0,180.0,0.0,1324.0
Walden Glen,3,2,0,1092.0,190.0,0.0,1282.0
Hiddenbrook,3,2,0,1099.0,145.0,0.0,1244.0
Laurel Hill,3,2,0,1038.0,152.0,20.0,1210.0
Camelot,3,2,0,1042.0,149.0,0.0,1191.0
Sleepy Hollow Rec,0,5,0,861.0,132.0,0.0,993.0
Long Branch,5,0,0,1196.0,188.0,0.0,1384.0
Truro,4,1,0,1140.0,164.0,0.0,1304.0
Kings Ridge,3,2,0,1121.0,178.0,0.0,1299.0
Lakeview,2,3,0,1086.0,186.0,0.0,1272.0
Village West,1,4,0,871.0,86.0,0.0,957.0
Commonwealth,0,5,0,864.0,132.0,0.0,996.0
Annandale,5,0,0,1237.0,166.0,0.0,1403.0
Little Hunting Park,4,1,0,1167.0,120.0,0.0,1287.0
Springboard,3,2,0,1103.0,156.0,0.0,1259.0
Fairfax Club Estates,2,3,0,1079.0,186.0,0.0,1265.0
Rolling Hills,1,4,0,944.0,134.0,0.0,1078.0
Burke Station,0,5,0,737.0,102.0,0.0,839.0
Woodley,4,1,0,1160.0,166.0,0.0,1326.0
Rolling Valley,4,1,0,1062.0,192.0,0.0,1254.0
Lake Braddock,3,2,0,1080.0,176.0,0.0,1256.0
Ilda Community,3,2,0,1079.0,134.0,0.0,1213.0
Newington Forest,1,4,0,956.0,144.0,0.0,1100.0
Hollin Hills,0,5,0,924.0,108.0,0.0,1032.0
Somerset-Olde Creek,4,1,0,1137.0,144.0,0.0,1281.0
Virginia Hills,4,1,0,1104.0,158.0,0.0,1262.0
Parklawn,3,2,0,1067.0,130.0,0.0,1197.0
Lincolnia Park,3,2,0,1009.0,152.0,0.0,1161.0
Pleasant Valley,1,4,0,950.0,160.0,0.0,1110.0
Herndon,0,5,0,861.0,90.0,0.0,951.0
Daventry,5,0,0,1420.0,256.0,0.0,1676.0
North Springfield,4,1,0,1123.0,162.0,0.0,1285.0
Broyhill Crest,3,2,0,1002.0,130.0,0.0,1132.0
Pinewood Lake,2,3,0,874.0,92.0,0.0,966.0
Bren Mar-Edsall Park,1,4,0,855.0,122.0,0.0,977.0
Springfield,0,5,0,746.0,36.0,0.0,782.0
