,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Overlee,5,0,0,1241.0,200.0,573.0,2014.0
Vienna Aquatic,4,1,0,1137.5,194.0,558.0,1889.5
Hamlet,3,2,0,952.5,134.0,300.0,1386.5
Chesterbrook,2,3,0,1001.5,152.0,380.0,1533.5
Donaldson Run,1,4,0,845.0,132.0,326.0,1303.0
Tuckahoe,0,5,0,852.5,140.0,334.0,1326.5
Little Rocky Run,5,0,0,1257.0,204.0,296.0,1757.0
Fairfax Station,4,1,0,1069.5,172.0,238.0,1479.5
Hunter Mill,3,2,0,1046.0,166.0,218.0,1430.0
Vienna Woods,2,3,0,932.0,104.0,100.0,1136.0
Oakton,1,4,0,890.0,176.0,198.0,1264.0
Virginia Run,0,5,0,835.5,140.0,160.0,1135.5
Lee Graham,5,0,0,1233.0,230.0,340.0,1803.0
McLean,3,2,0,1012.5,164.0,312.0,1488.5
Highlands Swim,3,2,0,988.0,160.0,204.0,1352.0
Sleepy Hollow B & R,2,3,0,930.5,142.0,146.0,1218.5
Sully Station,2,3,0,971.0,132.0,86.0,1189.0
South Run,0,5,0,895.0,124.0,92.0,1111.0
Orange Hunt,4,1,0,1059.5,192.0,190.0,1441.5
Crosspointe,4,1,0,1046.0,142.0,78.0,1266.0
Fox Mill Woods,3,2,0,1060.0,186.0,168.0,1414.0
Waynewood,3,2,0,1043.0,158.0,172.0,1373.0
Wakefield Chapel,1,4,0,966.0,146.0,122.0,1234.0
Pinecrest,0,5,0,854.5,136.0,96.0,1086.5
High Point Pool,5,0,0,1120.0,172.0,140.0,1432.0
Langley,4,1,0,1112.5,198.0,194.0,1504.5
Cardinal Hill,3,2,0,1101.0,172.0,72.0,1345.0
Commonwealth,2,3,0,936.0,158.0,90.0,1184.0
Sideburn Run,1,4,0,888.5,144.0,144.0,1176.5
Dowden Terrace,0,5,0,869.0,112.0,146.0,1127.0
Dunn Loring,5,0,0,1140.0,168.0,140.0,1448.0
Hunt Valley,3,2,0,984.0,164.0,150.0,1298.0
Greenbriar,3,2,0,1023.0,154.0,114.0,1291.0
Fairfax,2,3,0,1005.0,178.0,186.0,1369.0
Mount Vernon Park,2,3,0,989.0,132.0,64.0,1185.0
Ravensworth Farm,0,5,0,888.0,156.0,0.0,1044.0
Mansion House,5,0,0,1155.0,184.0,242.0,1581.0
Brookfield,4,1,0,1051.0,162.0,14.0,1227.0
Lakevale Estates,2,3,0,953.0,180.0,74.0,1207.0
Poplar Heights,2,3,0,961.0,144.0,22.0,1127.0
Kent Gardens,1,4,0,969.0,130.0,66.0,1165.0
Riverside Gardens,1,4,0,935.0,148.0,16.0,1099.0
Villa Aquatic,5,0,0,1110.5,208.0,80.0,1398.5
Mantua,4,1,0,1085.0,158.0,20.0,1263.0
Country Club Hills,3,2,0,988.0,146.0,16.0,1150.0
Poplar Tree,2,3,0,1003.0,176.0,84.0,1263.0
Walden Glen,1,4,0,951.0,148.0,14.0,1113.0
Daventry,0,5,0,876.5,126.0,0.0,1002.5
Hollin Meadows,5,0,0,1184.5,192.0,26.0,1402.5
Dominion Hills,3,2,0,1021.5,136.0,0.0,1157.5
Canterbury Woods,3,2,0,982.0,160.0,0.0,1142.0
Fairfax Club Estates,2,3,0,926.0,118.0,48.0,1092.0
Mosby Woods,1,4,0,996.0,190.0,106.0,1292.0
Sleepy Hollow Rec,1,4,0,908.0,142.0,0.0,1050.0
Forest Hollow,5,0,0,1116.0,160.0,20.0,1296.0
Shouse Village,4,1,0,1062.0,186.0,24.0,1272.0
Fox Mill Estates,3,2,0,1131.0,182.0,0.0,1313.0
Truro,2,3,0,993.0,170.0,100.0,1263.0
Hayfield Farm,1,4,0,857.0,142.0,6.0,1005.0
Fair Oaks,0,5,0,871.0,90.0,0.0,961.0
Fox Hunt,5,0,0,1190.0,192.0,24.0,1406.0
Parliament,4,1,0,1159.5,210.0,61.0,1430.5
Sully Station II,3,2,0,1053.0,160.0,14.0,1227.0
Lake Braddock,2,3,0,971.5,140.0,0.0,1111.5
Old Keene Mill,1,4,0,900.0,130.0,0.0,1030.0
Great Falls,0,5,0,737.0,82.0,0.0,819.0
Highland Park,5,0,0,1201.0,216.0,74.0,1491.0
Rolling Forest,4,1,0,1121.5,172.0,16.0,1309.5
Rolling Hills,3,2,0,1023.0,144.0,30.0,1197.0
Hiddenbrook,2,3,0,877.0,114.0,0.0,991.0
Pleasant Valley,1,4,0,952.5,148.0,0.0,1100.5
Springfield,0,5,0,840.0,134.0,0.0,974.0
Camelot,5,0,0,1059.0,182.0,0.0,1241.0
Arlington Forest,4,1,0,1067.0,150.0,2.0,1219.0
Holmes Run Acres,2,2,1,1017.0,186.0,8.0,1211.0
Little Hunting Park,2,3,0,996.0,174.0,0.0,1170.0
Stratford,1,4,0,946.0,116.0,0.0,1062.0
Woodley,0,4,1,897.0,132.0,0.0,1029.0
Rutherford,5,0,0,1103.0,174.0,0.0,1277.0
Newington Forest,4,1,0,1101.5,162.0,0.0,1263.5
Burke Station,3,2,0,1094.0,180.0,0.0,1274.0
Village West,2,3,0,923.0,146.0,0.0,1069.0
Herndon,1,4,0,898.5,126.0,0.0,1024.5
North Springfield,0,5,0,874.0,132.0,0.0,1006.0
Long Branch,5,0,0,1123.0,190.0,0.0,1313.0
Lakeview,3,2,0,1063.0,180.0,0.0,1243.0
Parklawn,3,2,0,1020.0,138.0,0.0,1158.0
Brandywine,2,3,0,998.0,172.0,0.0,1170.0
Cottontail,2,3,0,967.0,112.0,0.0,1079.0
Kings Ridge,0,5,0,851.0,136.0,70.0,1057.0
Springboard,5,0,0,1234.0,176.0,0.0,1410.0
Lincolnia Park,4,1,0,1154.0,178.0,0.0,1332.0
Ilda Community,3,2,0,1113.0,204.0,0.0,1317.0
Annandale,2,3,0,876.0,120.0,0.0,996.0
Somerset-Olde Creek,1,4,0,818.0,122.0,0.0,940.0
Virginia Hills,0,5,0,791.0,112.0,0.0,903.0
Laurel Hill,5,0,0,1244.0,216.0,0.0,1460.0
Broyhill Crest,4,1,0,1151.0,172.0,0.0,1323.0
Hollin Hills,3,2,0,1062.0,142.0,0.0,1204.0
Rolling Valley,2,3,0,1033.0,90.0,0.0,1123.0
Bren Mar-Edsall Park,1,4,0,854.0,94.0,0.0,948.0
Pinewood Lake,0,5,0,416.0,48.0,0.0,464.0
