,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Overlee,5,0,0,1273.0,238.0,586.0,2097.0
Chesterbrook,4,1,0,1256.0,198.0,444.0,1898.0
Vienna Aquatic,3,2,0,908.0,146.0,254.0,1308.0
Hamlet,2,3,0,843.0,120.0,140.0,1103.0
Fairfax Station,1,4,0,851.0,148.0,282.0,1281.0
Little Rocky Run,0,5,0,776.0,106.0,192.0,1074.0
Tuckahoe,5,0,0,1282.0,208.0,486.0,1976.0
Lee Graham,4,1,0,1010.0,172.0,306.0,1488.0
Oakton,3,2,0,974.0,158.0,122.0,1254.0
McLean,2,3,0,945.0,154.0,247.0,1346.0
Hunter Mill,1,4,0,957.0,146.0,172.0,1275.0
Donaldson Run,0,5,0,834.0,122.0,80.0,1036.0
Vienna Woods,5,0,0,1114.0,174.0,226.0,1514.0
Highlands Swim,4,1,0,1136.0,186.0,240.0,1562.0
Dunn Loring,3,2,0,943.0,128.0,140.0,1211.0
Wakefield Chapel,2,3,0,1016.0,158.0,188.0,1362.0
Crosspointe,1,4,0,961.0,144.0,148.0,1253.0
South Run,0,5,0,833.0,168.0,172.0,1173.0
Fox Mill Woods,4,0,0,995.0,201.0,272.0,1468.0
Fairfax,3,1,0,910.0,214.0,356.0,1480.0
High Point Pool,3,2,0,983.0,146.0,150.0,1279.0
Sully Station,2,3,0,957.0,142.0,148.0,1247.0
Mansion House,2,3,0,961.0,135.0,124.0,1220.0
Orange Hunt,0,5,0,822.0,124.0,158.0,1104.0
Cardinal Hill,5,0,0,1082.0,160.0,40.0,1282.0
Langley,4,1,0,1043.0,196.0,122.0,1361.0
Virginia Run,3,2,0,1029.0,198.0,124.0,1351.0
Pinecrest,2,3,0,990.0,126.0,102.0,1218.0
Waynewood,1,4,0,952.0,142.0,80.0,1174.0
Sleepy Hollow B & R,0,5,0,931.0,140.0,138.0,1209.0
Mount Vernon Park,4,1,0,1070.0,176.0,176.0,1422.0
Dowden Terrace,4,1,0,1065.0,174.0,180.0,1419.0
Lakevale Estates,4,1,0,1078.0,164.0,126.0,1368.0
Greenbriar,2,3,0,966.0,154.0,104.0,1224.0
Ravensworth Farm,1,4,0,955.0,136.0,4.0,1095.0
Villa Aquatic,0,5,0,839.0,142.0,74.0,1055.0
Hunt Valley,4,1,0,1147.0,170.0,66.0,1383.0
Sideburn Run,4,1,0,1064.0,182.0,104.0,1350.0
Fox Hunt,4,1,0,1083.0,224.0,26.0,1333.0
Mantua,2,3,0,971.0,136.0,0.0,1107.0
Fairfax Club Estates,1,4,0,862.0,108.0,0.0,970.0
Brookfield,0,5,0,781.0,120.0,0.0,901.0
Mosby Woods,5,0,0,1206.0,224.0,252.0,1682.0
Riverside Gardens,4,1,0,1089.0,156.0,0.0,1245.0
Dominion Hills,3,2,0,962.0,152.0,0.0,1114.0
Hollin Meadows,1,3,1,953.0,132.0,6.0,1091.0
Commonwealth,1,4,0,814.0,130.0,42.0,986.0
Parliament,0,4,1,949.0,162.0,66.0,1177.0
