,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Shouse Village,5,0,0,1105.0,176.0,130.0,1411.0
Poplar Tree,4,1,0,1168.0,190.0,118.0,1476.0
Walden Glen,2,3,0,948.0,174.0,66.0,1188.0
Forest Hollow,2,3,0,981.0,144.0,12.0,1137.0
Poplar Heights,2,3,0,942.0,148.0,8.0,1098.0
Canterbury Woods,0,5,0,827.0,118.0,18.0,963.0
Sully Station II,4,1,0,1174.0,214.0,112.0,1500.0
Highland Park,4,1,0,1078.0,154.0,52.0,1284.0
Fox Mill Estates,4,1,0,1035.0,182.0,12.0,1229.0
Holmes Run Acres,2,3,0,966.0,160.0,32.0,1158.0
Camelot,1,4,0,864.0,132.0,56.0,1052.0
Country Club Hills,0,5,0,836.0,112.0,0.0,948.0
Arlington Forest,5,0,0,1115.0,186.0,22.0,1323.0
Truro,4,1,0,1042.0,136.0,58.0,1236.0
Hayfield Farm,3,2,0,1042.0,156.0,18.0,1216.0
Daventry,2,3,0,969.0,154.0,14.0,1137.0
Rolling Forest,1,4,0,964.0,182.0,0.0,1146.0
Lake Braddock,0,5,0,734.0,118.0,0.0,852.0
Kent Gardens,5,0,0,1118.0,188.0,0.0,1306.0
Long Branch,3,2,0,1014.0,130.0,0.0,1144.0
Springboard,3,2,0,993.0,148.0,0.0,1141.0
Old Keene Mill,2,3,0,956.0,126.0,32.0,1114.0
Rolling Hills,1,4,0,979.0,162.0,0.0,1141.0
Rutherford,1,4,0,903.0,152.0,0.0,1055.0
Great Falls,5,0,0,1138.0,204.0,46.0,1388.0
Fair Oaks,3,1,1,1162.0,182.0,0.0,1344.0
Hiddenbrook,3,2,0,978.0,138.0,8.0,1124.0
Sleepy Hollow Rec,2,2,1,1012.0,160.0,0.0,1172.0
Pleasant Valley,1,4,0,860.0,160.0,0.0,1020.0
Lakeview,0,5,0,642.0,90.0,0.0,732.0
Newington Forest,4,1,0,1026.0,186.0,0.0,1212.0
Burke Station,4,1,0,1038.0,156.0,0.0,1194.0
Little Hunting Park,3,2,0,1038.0,161.0,0.0,1199.0
Laurel Hill,2,3,0,987.0,163.0,0.0,1150.0
Village West,2,3,0,979.0,168.0,0.0,1147.0
Ilda Community,0,5,0,859.0,122.0,0.0,981.0
Brandywine,5,0,0,1239.0,240.0,42.0,1521.0
Parklawn,4,1,0,979.0,164.0,0.0,1143.0
Cottontail,3,2,0,1038.0,142.0,0.0,1180.0
Stratford,2,3,0,957.0,148.0,0.0,1105.0
Woodley,1,4,0,930.0,134.0,0.0,1064.0
Springfield,0,5,0,768.0,98.0,0.0,866.0
Kings Ridge,5,0,0,1206.0,246.0,62.0,1514.0
Lincolnia Park,4,1,0,979.0,152.0,0.0,1131.0
Annandale,3,2,0,1010.0,164.0,0.0,1174.0
North Springfield,2,3,0,900.0,80.0,0.0,980.0
Hollin Hills,1,4,0,848.0,100.0,0.0,948.0
Rolling Valley,0,5,0,866.0,132.0,0.0,998.0
Somerset-Olde Creek,5,0,0,1245.0,228.0,45.0,1518.0
Herndon,4,1,0,1153.0,140.0,0.0,1293.0
Virginia Hills,3,2,0,1060.0,126.0,0.0,1186.0
Broyhill Crest,2,3,0,930.0,182.0,0.0,1112.0
Bren Mar-Edsall Park,1,4,0,747.0,104.0,0.0,851.0
Pinewood Lake,0,5,0,406.0,40.0,0.0,446.0
