,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1472.5,240.0,690.0,2402.5
Overlee,4,1,0,1229.5,188.0,617.0,2034.5
Tuckahoe,3,2,0,1097.5,174.0,470.0,1741.5
Highlands Swim,2,3,0,1085.5,142.0,391.0,1618.5
McLean,1,4,0,712.5,124.0,226.0,1062.5
Wakefield Chapel,0,5,0,701.5,94.0,226.0,1021.5
Dowden Terrace,5,0,0,1311.0,202.0,302.0,1815.0
Hamlet,4,1,0,1123.0,174.0,156.0,1453.0
Langley,3,2,0,1105.0,158.0,181.0,1444.0
Hunt Valley,2,3,0,1006.0,150.0,94.0,1250.0
Little Rocky Run,1,4,0,1011.0,160.0,58.0,1229.0
Fairfax,0,5,0,744.0,116.0,124.0,984.0
Donaldson Run,5,0,0,1219.0,214.0,359.0,1792.0
Crosspointe,3,2,0,1132.0,160.0,278.0,1570.0
Mount Vernon Park,3,2,0,1074.5,176.0,230.0,1480.5
High Point Pool,3,2,0,1065.5,174.0,182.0,1421.5
Vienna Woods,1,4,0,924.0,120.0,94.0,1138.0
Hunter Mill,0,5,0,882.0,120.0,118.0,1120.0
Fair Oaks,5,0,0,1111.5,140.0,186.0,1437.5
Vienna Aquatic,3,2,0,1077.0,184.0,191.0,1452.0
Virginia Run,3,2,0,1040.0,166.0,212.0,1418.0
Oakton,2,3,0,1074.5,188.0,158.0,1420.5
Cardinal Hill,2,3,0,1013.5,130.0,62.0,1205.5
Hiddenbrook,0,5,0,979.5,150.0,136.0,1265.5
Kent Gardens,4,1,0,1185.0,188.0,129.0,1502.0
Sideburn Run,4,1,0,1129.5,166.0,132.0,1427.5
Orange Hunt,4,1,0,1092.0,164.0,146.0,1402.0
Lee Graham,2,3,0,1048.5,196.0,40.0,1284.5
Walden Glen,1,4,0,941.0,112.0,36.0,1089.0
Ravensworth Farm,0,5,0,904.0,128.0,6.0,1038.0
Mantua,5,0,0,1345.0,240.0,168.0,1753.0
Pinecrest,3,2,0,1086.0,155.0,22.0,1263.0
Lakevale Estates,2,3,0,980.0,115.0,70.0,1165.0
Villa Aquatic,2,3,0,978.0,174.0,10.0,1162.0
Greenbriar,1,3,1,940.0,144.0,54.0,1138.0
Dunn Loring,1,3,1,964.0,118.0,12.0,1094.0
Country Club Hills,5,0,0,1140.0,182.0,66.0,1388.0
Sleepy Hollow B & R,4,1,0,1116.0,180.0,16.0,1312.0
Waynewood,3,2,0,1131.0,174.0,12.0,1317.0
Dominion Hills,2,3,0,1087.0,138.0,41.0,1266.0
Mosby Woods,1,4,0,929.0,146.0,130.0,1205.0
Arlington Forest,0,5,0,881.0,124.0,4.0,1009.0
Sleepy Hollow Rec,4,1,0,1152.0,214.0,56.0,1422.0
Old Keene Mill,4,1,0,1171.0,172.0,71.0,1414.0
Lakeview,4,1,0,1100.0,146.0,90.0,1336.0
Virginia Hills,2,3,0,1001.5,164.0,52.0,1217.5
Fox Mill Woods,1,4,0,1010.0,148.0,122.0,1280.0
Camelot,0,5,0,863.5,114.0,84.0,1061.5
Brandywine,5,0,0,1314.5,212.0,128.0,1654.5
Sully Station,4,1,0,1093.0,174.0,28.0,1295.0
Fairfax Station,3,2,0,1053.0,138.0,12.0,1203.0
Great Falls,2,3,0,997.0,174.0,122.0,1293.0
Riverside Gardens,1,4,0,974.5,124.0,0.0,1098.5
Poplar Tree,0,5,0,849.0,126.0,110.0,1085.0
Hollin Meadows,5,0,0,1258.0,200.0,20.0,1478.0
Rutherford,4,1,0,1137.0,188.0,36.0,1361.0
Fox Mill Estates,3,2,0,1100.0,162.0,72.0,1334.0
Somerset-Olde Creek,2,3,0,1009.0,134.0,8.0,1151.0
Laurel Hill,1,4,0,825.0,126.0,24.0,975.0
Annandale,0,5,0,929.0,138.0,0.0,1067.0
Fairfax Club Estates,5,0,0,1197.5,220.0,52.0,1469.5
Little Hunting Park,4,1,0,1154.0,144.0,68.0,1366.0
Highland Park,3,2,0,1086.0,186.0,44.0,1316.0
Poplar Heights,2,3,0,1037.5,165.0,0.0,1202.5
Cottontail,1,4,0,897.5,116.0,0.0,1013.5
Mansion House,0,5,0,924.5,119.0,14.0,1057.5
South Run,5,0,0,1186.0,187.0,196.0,1569.0
Springboard,4,1,0,1195.0,194.0,26.0,1415.0
Truro,3,2,0,1058.5,172.0,0.0,1230.5
Hayfield Farm,1,3,1,966.5,128.0,0.0,1094.5
Rolling Hills,1,4,0,975.5,107.0,0.0,1082.5
Kings Ridge,0,4,1,911.5,174.0,0.0,1085.5
Brookfield,4,1,0,1117.5,160.0,20.0,1297.5
Stratford,4,1,0,1118.0,136.0,0.0,1254.0
Canterbury Woods,3,2,0,1073.5,170.0,50.0,1293.5
Shouse Village,2,3,0,1056.5,194.0,14.0,1264.5
Forest Hollow,2,3,0,979.0,146.0,12.0,1137.0
Fox Hunt,0,5,0,941.5,132.0,0.0,1073.5
Holmes Run Acres,4,1,0,1168.0,158.0,8.0,1334.0
Rolling Forest,4,1,0,1114.0,178.0,8.0,1300.0
Daventry,3,2,0,1082.0,184.0,0.0,1266.0
Sully Station II,3,2,0,1122.0,138.0,0.0,1260.0
Rolling Valley,1,4,0,1025.0,160.0,0.0,1185.0
Burke Station,0,5,0,736.0,114.0,0.0,850.0
Woodley,5,0,0,1216.0,210.0,42.0,1468.0
Parklawn,4,1,0,1094.0,172.0,0.0,1266.0
Ilda Community,2,3,0,1007.5,136.0,2.0,1145.5
Hollin Hills,2,3,0,978.0,160.0,0.0,1138.0
Lake Braddock,1,4,0,1002.5,104.0,0.0,1106.5
Herndon,1,4,0,963.0,130.0,0.0,1093.0
Parliament,5,0,0,1138.0,194.0,0.0,1332.0
Pleasant Valley,4,1,0,1085.0,140.0,0.0,1225.0
Long Branch,3,2,0,1073.0,176.0,0.0,1249.0
