,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Overlee,5,0,0,1224.0,193.0,536.0,1953.0
Chesterbrook,4,1,0,1233.0,198.0,459.0,1890.0
Tuckahoe,3,2,0,1164.0,200.0,526.0,1890.0
McLean,2,3,0,908.0,166.0,385.0,1459.0
Oakton,1,4,0,733.0,114.0,176.0,1023.0
Hamlet,0,5,0,764.0,87.0,69.0,920.0
Highlands Swim,5,0,0,1228.0,212.0,326.0,1766.0
Lee Graham,4,1,0,1064.0,140.0,172.0,1376.0
Fairfax Station,2,3,0,993.0,196.0,347.0,1536.0
Fairfax,2,3,0,980.0,160.0,254.0,1394.0
Little Rocky Run,2,3,0,957.0,144.0,98.0,1199.0
Hunter Mill,0,5,0,804.0,116.0,87.0,1007.0
Vienna Woods,5,0,0,1127.0,154.0,160.0,1441.0
Vienna Aquatic,4,1,0,1076.0,178.0,208.0,1462.0
Wakefield Chapel,3,2,0,1043.0,180.0,184.0,1407.0
Donaldson Run,1,3,1,974.0,156.0,244.0,1374.0
Crosspointe,1,3,1,929.0,156.0,263.0,1348.0
Mount Vernon Park,0,5,0,880.0,138.0,188.0,1206.0
Lakevale Estates,5,0,0,1077.0,170.0,222.0,1469.0
Dunn Loring,4,1,0,1079.0,178.0,136.0,1393.0
Hunt Valley,2,3,0,1041.0,154.0,138.0,1333.0
Fox Mill Woods,2,3,0,933.0,148.0,134.0,1215.0
Mosby Woods,1,4,0,950.0,176.0,202.0,1328.0
Langley,1,4,0,948.0,132.0,154.0,1234.0
Sully Station II,5,0,0,1145.0,206.0,78.0,1429.0
Sully Station,4,1,0,1141.0,181.0,274.0,1596.0
Cardinal Hill,3,2,0,1084.0,162.0,54.0,1300.0
Mansion House,2,3,0,987.0,133.0,80.0,1200.0
Sideburn Run,1,4,0,892.0,158.0,46.0,1096.0
South Run,0,5,0,774.0,108.0,70.0,952.0
Pinecrest,5,0,0,1253.0,204.0,155.0,1612.0
Mantua,3,2,0,1087.0,174.0,68.0,1329.0
High Point Pool,3,2,0,1008.0,136.0,92.0,1236.0
Poplar Tree,3,2,0,971.0,152.0,106.0,1229.0
Greenbriar,1,4,0,885.0,162.0,115.0,1162.0
