,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Virginia Run,0,5,0,823.0,120.0,26.0,969.0
Waynewood,5,0,0,1131.0,194.0,136.0,1461.0
Riverside Gardens,4,1,0,1178.0,180.0,102.0,1460.0
Sleepy Hollow B & R,3,2,0,995.0,157.0,100.0,1252.0
Orange Hunt,2,3,0,993.0,175.0,146.0,1314.0
Dowden Terrace,1,4,0,920.0,152.0,110.0,1182.0
Fox Hunt,0,5,0,813.0,100.0,0.0,913.0
Ravensworth Farm,4,0,1,1083.0,144.0,64.0,1291.0
Forest Hollow,4,1,0,1063.0,174.0,32.0,1269.0
Poplar Heights,3,1,1,1104.0,190.0,120.0,1414.0
Shouse Village,2,3,0,1008.0,164.0,128.0,1300.0
Villa Aquatic,1,4,0,945.0,132.0,40.0,1117.0
Canterbury Woods,0,5,0,827.0,130.0,44.0,1001.0
Hollin Meadows,5,0,0,1209.0,186.0,94.0,1489.0
Great Falls,3,2,0,1013.0,206.0,72.0,1291.0
Arlington Forest,3,2,0,1067.0,130.0,0.0,1197.0
Kent Gardens,2,3,0,987.0,144.0,20.0,1151.0
Brookfield,2,3,0,968.0,162.0,0.0,1130.0
Fairfax Club Estates,0,5,0,785.0,128.0,0.0,913.0
Highland Park,4,1,0,1107.0,160.0,20.0,1287.0
Dominion Hills,4,1,0,1079.0,152.0,0.0,1231.0
Brandywine,3,2,0,1036.0,182.0,32.0,1250.0
Fair Oaks,3,2,0,1016.0,176.0,0.0,1192.0
Rolling Forest,1,4,0,929.0,140.0,48.0,1117.0
Fox Mill Estates,0,5,0,856.0,150.0,40.0,1046.0
Holmes Run Acres,4,1,0,1136.0,196.0,36.0,1368.0
Hayfield Farm,3,1,1,1095.0,190.0,46.0,1331.0
Parliament,3,1,1,1052.0,182.0,91.0,1325.0
Cottontail,2,3,0,1004.0,142.0,10.0,1156.0
Commonwealth,1,4,0,866.0,120.0,0.0,986.0
Long Branch,1,4,0,865.0,118.0,0.0,983.0
Camelot,4,1,0,1109.0,182.0,13.0,1304.0
Country Club Hills,4,1,0,1116.0,136.0,0.0,1252.0
Walden Glen,3,2,0,1051.0,200.0,8.0,1259.0
Truro,2,3,0,985.0,174.0,12.0,1171.0
Sleepy Hollow Rec,1,4,0,874.0,138.0,0.0,1012.0
Kings Ridge,1,4,0,890.0,116.0,0.0,1006.0
Hiddenbrook,5,0,0,1094.0,174.0,0.0,1268.0
Rolling Hills,4,1,0,1105.0,186.0,0.0,1291.0
Old Keene Mill,3,2,0,1032.0,158.0,34.0,1224.0
Rutherford,2,3,0,1043.0,164.0,0.0,1207.0
Springboard,1,4,0,921.0,126.0,0.0,1047.0
Daventry,0,5,0,813.0,122.0,0.0,935.0
Village West,4,1,0,1090.0,176.0,0.0,1266.0
Little Hunting Park,4,1,0,1078.0,176.0,0.0,1254.0
Laurel Hill,3,2,0,1019.0,154.0,0.0,1173.0
Newington Forest,3,2,0,993.0,152.0,0.0,1145.0
Burke Station,1,4,0,939.0,144.0,0.0,1083.0
Lake Braddock,0,5,0,881.0,124.0,0.0,1005.0
Stratford,5,0,0,1184.0,192.0,0.0,1376.0
Ilda Community,4,1,0,1088.0,170.0,0.0,1258.0
Annandale,3,2,0,1129.0,156.0,0.0,1285.0
Woodley,2,3,0,1028.0,180.0,0.0,1208.0
Pleasant Valley,1,4,0,822.0,116.0,0.0,938.0
Herndon,0,5,0,747.0,102.0,0.0,849.0
Parklawn,5,0,0,1172.0,166.0,0.0,1338.0
Lakeview,4,1,0,1068.0,174.0,0.0,1242.0
Rolling Valley,3,2,0,1098.0,158.0,0.0,1256.0
Hollin Hills,2,3,0,924.0,106.0,0.0,1030.0
Lincolnia Park,1,4,0,880.0,158.0,0.0,1038.0
North Springfield,0,5,0,828.0,124.0,0.0,952.0
Somerset-Olde Creek,5,0,0,1228.0,228.0,0.0,1456.0
Virginia Hills,4,1,0,1200.0,142.0,0.0,1342.0
Broyhill Crest,3,2,0,1083.0,154.0,0.0,1237.0
Bren Mar-Edsall Park,2,3,0,969.0,162.0,0.0,1131.0
Pinewood Lake,1,4,0,635.0,56.0,0.0,691.0
Springfield,0,5,0,689.0,90.0,0.0,779.0
