,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Overlee,5,0,0,1232.0,200.0,478.0,1910.0
Chesterbrook,4,1,0,1162.0,214.0,628.0,2004.0
Vienna Aquatic,3,2,0,1091.5,178.0,424.0,1693.5
Tuckahoe,1,4,0,857.0,112.0,236.0,1205.0
Fairfax Station,1,4,0,819.0,116.0,262.0,1197.0
Little Rocky Run,1,4,0,863.5,138.0,192.0,1193.5
Donaldson Run,5,0,0,1114.0,186.0,348.0,1648.0
Hamlet,4,1,0,1141.0,168.0,301.0,1610.0
Hunter Mill,3,2,0,1001.5,129.0,188.0,1318.5
Oakton,2,3,0,945.0,172.0,236.0,1353.0
Vienna Woods,0,4,1,939.5,147.0,170.0,1256.5
Virginia Run,0,4,1,889.0,150.0,200.0,1239.0
Lee Graham,5,0,0,1115.0,178.0,258.0,1551.0
Sully Station,3,2,0,1010.0,158.0,214.0,1382.0
McLean,2,3,0,999.0,152.0,326.0,1477.0
Highlands Swim,2,3,0,998.0,166.0,152.0,1316.0
Sleepy Hollow B & R,2,3,0,966.5,158.0,114.0,1238.5
Wakefield Chapel,1,4,0,936.5,134.0,118.0,1188.5
South Run,5,0,0,1133.0,206.0,246.0,1585.0
Orange Hunt,4,1,0,1139.0,192.0,148.0,1479.0
Crosspointe,3,2,0,1095.0,178.0,200.0,1473.0
Fox Mill Woods,2,3,0,979.0,138.0,72.0,1189.0
Cardinal Hill,1,4,0,981.0,144.0,104.0,1229.0
Country Club Hills,0,5,0,669.0,100.0,56.0,825.0
Waynewood,5,0,0,1100.5,188.0,164.0,1452.5
Pinecrest,4,1,0,1202.5,170.0,126.0,1498.5
Langley,3,2,0,989.0,162.0,114.0,1265.0
Sideburn Run,2,3,0,925.0,162.0,182.0,1269.0
Kent Gardens,1,4,0,910.0,122.0,34.0,1066.0
Commonwealth,0,5,0,902.0,156.0,140.0,1198.0
High Point Pool,5,0,0,1157.0,198.0,98.0,1453.0
Ravensworth Farm,4,1,0,1093.0,170.0,68.0,1331.0
Hunt Valley,3,2,0,1023.0,164.0,100.0,1287.0
Fairfax,2,3,0,1024.5,178.0,46.0,1248.5
Poplar Heights,1,4,0,946.0,124.0,36.0,1106.0
Sleepy Hollow Rec,0,5,0,779.5,114.0,0.0,893.5
Dunn Loring,4,1,0,1109.0,180.0,78.0,1367.0
Mount Vernon Park,3,2,0,1014.0,170.0,216.0,1400.0
Greenbriar,3,2,0,1007.5,162.0,124.0,1293.5
Mansion House,3,2,0,986.5,154.0,84.0,1224.5
Riverside Gardens,2,3,0,977.5,146.0,50.0,1173.5
Poplar Tree,0,5,0,934.5,132.0,64.0,1130.5
Dowden Terrace,5,0,0,1106.0,158.0,36.0,1300.0
Villa Aquatic,4,1,0,1127.5,226.0,144.0,1497.5
Fairfax Club Estates,3,2,0,1069.0,177.0,12.0,1258.0
Dominion Hills,2,3,0,939.5,88.0,0.0,1027.5
Truro,1,4,0,936.5,174.0,60.0,1170.5
Shouse Village,0,5,0,835.5,123.0,0.0,958.5
Brookfield,4,1,0,1134.5,198.0,40.0,1372.5
Walden Glen,4,1,0,1054.5,194.0,32.0,1280.5
Mantua,4,1,0,1084.0,134.0,0.0,1218.0
Daventry,2,3,0,1023.0,154.0,58.0,1235.0
Fair Oaks,1,4,0,870.0,120.0,0.0,990.0
Hayfield Farm,0,5,0,867.0,140.0,30.0,1037.0
Lakevale Estates,5,0,0,1199.0,192.0,66.0,1457.0
Canterbury Woods,4,1,0,1070.5,176.0,28.0,1274.5
Forest Hollow,3,2,0,998.5,156.0,0.0,1154.5
Sully Station II,2,3,0,931.5,142.0,0.0,1073.5
Highland Park,1,4,0,938.5,142.0,12.0,1092.5
Arlington Forest,0,5,0,889.0,142.0,66.0,1097.0
Mosby Woods,5,0,0,1108.0,201.0,108.0,1417.0
Hiddenbrook,4,1,0,1061.5,186.0,0.0,1247.5
Rolling Hills,2,3,0,1053.0,172.0,0.0,1225.0
Rolling Forest,2,3,0,990.0,162.0,0.0,1152.0
Stratford,2,3,0,975.0,121.0,0.0,1096.0
Herndon,0,5,0,822.5,88.0,0.0,910.5
Hollin Meadows,5,0,0,1116.5,190.0,64.0,1370.5
Fox Mill Estates,4,1,0,1045.0,184.0,0.0,1229.0
Fox Hunt,3,2,0,1035.5,172.0,66.0,1273.5
Parliament,1,4,0,973.5,134.0,0.0,1107.5
Great Falls,1,4,0,924.5,142.0,0.0,1066.5
Old Keene Mill,1,4,0,931.0,112.0,0.0,1043.0
Springfield,5,0,0,1098.0,172.0,0.0,1270.0
Lake Braddock,4,1,0,1126.0,196.0,12.0,1334.0
Little Hunting Park,2,3,0,984.0,134.0,0.0,1118.0
Woodley,2,3,0,945.0,144.0,0.0,1089.0
Camelot,1,4,0,937.0,168.0,4.0,1109.0
Burke Station,1,4,0,927.0,136.0,0.0,1063.0
Pleasant Valley,5,0,0,1136.0,190.0,0.0,1326.0
Kings Ridge,3,2,0,1025.5,154.0,67.0,1246.5
Lakeview,3,2,0,1027.0,166.0,0.0,1193.0
Rutherford,3,2,0,1018.5,156.0,14.0,1188.5
Cottontail,1,4,0,913.0,142.0,0.0,1055.0
Annandale,0,5,0,890.0,92.0,0.0,982.0
Holmes Run Acres,5,0,0,1191.0,200.0,16.0,1407.0
Village West,4,1,0,1115.0,190.0,26.0,1331.0
Long Branch,3,2,0,1028.0,180.0,18.0,1226.0
Parklawn,2,3,0,939.5,134.0,0.0,1073.5
Brandywine,1,4,0,923.5,132.0,44.0,1099.5
Virginia Hills,0,5,0,805.0,88.0,0.0,893.0
Newington Forest,5,0,0,1161.0,132.0,0.0,1293.0
North Springfield,3,2,0,1053.0,182.0,0.0,1235.0
Springboard,3,2,0,1051.0,148.0,0.0,1199.0
Lincolnia Park,3,2,0,1027.0,156.0,14.0,1197.0
Ilda Community,1,4,0,920.0,136.0,0.0,1056.0
Hollin Hills,0,5,0,739.0,84.0,0.0,823.0
Somerset-Olde Creek,5,0,0,1229.0,244.0,0.0,1473.0
Broyhill Crest,4,1,0,1185.0,222.0,0.0,1407.0
Rolling Valley,3,2,0,1039.0,146.0,0.0,1185.0
Laurel Hill,2,3,0,1021.0,84.0,0.0,1105.0
Bren Mar-Edsall Park,1,4,0,957.0,82.0,0.0,1039.0
