,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1333.0,230.0,674.0,2237.0
Tuckahoe,4,1,0,1257.5,186.0,598.0,2041.5
Overlee,3,2,0,1137.0,190.0,614.0,1941.0
Donaldson Run,2,3,0,884.5,150.0,397.0,1431.5
Highlands Swim,1,4,0,957.0,128.0,393.0,1478.0
Langley,0,5,0,731.0,74.0,190.0,995.0
McLean,5,0,0,1185.0,196.0,343.0,1724.0
Fair Oaks,4,1,0,1127.0,182.0,320.0,1629.0
Kent Gardens,3,2,0,1032.0,116.0,196.0,1344.0
Crosspointe,2,3,0,1061.0,164.0,292.0,1517.0
Little Rocky Run,1,4,0,939.0,134.0,202.0,1275.0
Hamlet,0,5,0,956.0,162.0,183.0,1301.0
Old Keene Mill,5,0,0,1283.5,214.0,280.0,1777.5
Wakefield Chapel,4,1,0,1090.0,158.0,194.0,1442.0
Hunt Valley,3,2,0,1033.0,155.0,132.0,1320.0
High Point Pool,2,3,0,1020.0,129.0,98.0,1247.0
Vienna Woods,1,4,0,953.5,146.0,70.0,1169.5
Dowden Terrace,0,5,0,911.0,150.0,132.0,1193.0
Cardinal Hill,5,0,0,1172.5,158.0,26.0,1356.5
Orange Hunt,4,1,0,1128.5,172.0,228.0,1528.5
Mantua,2,3,0,1042.0,162.0,196.0,1400.0
Lee Graham,2,3,0,985.5,156.0,34.0,1175.5
Oakton,1,3,1,1008.0,174.0,54.0,1236.0
Vienna Aquatic,0,4,1,962.5,138.0,48.0,1148.5
Hiddenbrook,4,1,0,1131.0,166.0,174.0,1471.0
Little Hunting Park,4,1,0,1094.0,138.0,60.0,1292.0
Mount Vernon Park,3,2,0,1095.0,188.0,28.0,1311.0
Virginia Run,2,3,0,1057.0,204.0,156.0,1417.0
Virginia Hills,2,3,0,1054.0,172.0,108.0,1334.0
Brandywine,0,5,0,861.0,92.0,36.0,989.0
Sleepy Hollow Rec,5,0,0,1132.5,188.0,146.0,1466.5
Dunn Loring,4,1,0,1177.0,152.0,24.0,1353.0
Pinecrest,3,2,0,1075.0,148.0,114.0,1337.0
South Run,2,3,0,1041.0,170.0,56.0,1267.0
Country Club Hills,1,4,0,936.5,124.0,0.0,1060.5
Lakeview,0,5,0,931.0,166.0,70.0,1167.0
Lakevale Estates,5,0,0,1210.0,178.0,26.0,1414.0
Fairfax Station,4,1,0,1123.0,186.0,58.0,1367.0
Ravensworth Farm,3,2,0,1035.0,146.0,56.0,1237.0
Dominion Hills,2,3,0,1053.0,152.0,36.0,1241.0
Canterbury Woods,1,4,0,968.0,128.0,30.0,1126.0
Waynewood,0,5,0,899.0,162.0,24.0,1085.0
Hunter Mill,4,1,0,1194.5,194.0,132.0,1520.5
Fairfax,4,1,0,1129.0,176.0,88.0,1393.0
Springboard,3,2,0,1089.0,170.0,50.0,1309.0
Cottontail,3,2,0,1103.5,146.0,0.0,1249.5
Sleepy Hollow B & R,1,4,0,1018.5,178.0,170.0,1366.5
Greenbriar,0,5,0,751.5,92.0,28.0,871.5
Poplar Heights,5,0,0,1155.5,174.0,12.0,1341.5
Rolling Hills,4,1,0,1240.0,182.0,120.0,1542.0
Villa Aquatic,3,2,0,999.0,202.0,48.0,1249.0
Arlington Forest,2,3,0,1092.5,140.0,38.0,1270.5
Great Falls,1,4,0,920.0,130.0,0.0,1050.0
Highland Park,0,5,0,881.0,114.0,20.0,1015.0
Camelot,4,1,0,1194.0,192.0,42.0,1428.0
Walden Glen,4,1,0,1166.0,182.0,20.0,1368.0
Sully Station,4,1,0,1089.5,186.0,56.0,1331.5
Hollin Meadows,2,3,0,979.0,152.0,0.0,1131.0
Riverside Gardens,1,4,0,864.0,96.0,0.0,960.0
Fairfax Club Estates,0,5,0,943.5,106.0,0.0,1049.5
Parklawn,5,0,0,1274.0,212.0,2.0,1488.0
Mosby Woods,4,1,0,1089.0,132.0,0.0,1221.0
Sideburn Run,3,2,0,1074.0,170.0,110.0,1354.0
Stratford,1,4,0,953.0,126.0,28.0,1107.0
Rolling Forest,1,4,0,954.0,128.0,0.0,1082.0
Rutherford,1,4,0,869.0,148.0,60.0,1077.0
Fox Hunt,5,0,0,1127.0,184.0,8.0,1319.0
Truro,4,1,0,1125.0,146.0,0.0,1271.0
Forest Hollow,2,3,0,1074.0,178.0,40.0,1292.0
Poplar Tree,2,3,0,1017.0,158.0,54.0,1229.0
Daventry,2,3,0,1038.0,154.0,24.0,1216.0
Hayfield Farm,0,5,0,891.0,124.0,0.0,1015.0
Mansion House,5,0,0,1219.5,196.0,58.0,1473.5
Holmes Run Acres,4,1,0,1120.0,180.0,50.0,1350.0
Shouse Village,2,3,0,999.0,186.0,30.0,1215.0
Brookfield,2,3,0,967.0,122.0,0.0,1089.0
Rolling Valley,1,4,0,969.5,148.0,22.0,1139.5
Fox Mill Estates,1,4,0,992.0,120.0,6.0,1118.0
Fox Mill Woods,5,0,0,1262.5,190.0,4.0,1456.5
Sully Station II,4,1,0,1104.0,168.0,0.0,1272.0
Woodley,3,2,0,1107.0,192.0,0.0,1299.0
Somerset-Olde Creek,1,4,0,1042.5,172.0,0.0,1214.5
Hollin Hills,1,4,0,907.0,104.0,0.0,1011.0
Lake Braddock,1,4,0,815.0,104.0,0.0,919.0
Kings Ridge,5,0,0,1312.0,236.0,0.0,1548.0
Laurel Hill,4,1,0,1117.0,184.0,0.0,1301.0
Parliament,3,2,0,991.0,142.0,0.0,1133.0
Annandale,2,3,0,1002.0,120.0,0.0,1122.0
Lincolnia Park,1,4,0,1024.0,152.0,0.0,1176.0
Herndon,0,5,0,749.0,82.0,0.0,831.0
Commonwealth,5,0,0,1325.0,218.0,16.0,1559.0
Burke Station,4,1,0,1250.0,220.0,4.0,1474.0
Village West,3,2,0,976.0,140.0,0.0,1116.0
Long Branch,2,3,0,960.0,96.0,0.0,1056.0
Ilda Community,1,4,0,850.0,104.0,0.0,954.0
Broyhill Crest,0,5,0,780.0,96.0,0.0,876.0
Springfield,5,0,0,1242.5,144.0,0.0,1386.5
Pleasant Valley,3,1,1,1134.0,134.0,0.0,1268.0
North Springfield,3,2,0,1116.0,110.0,0.0,1226.0
Newington Forest,2,2,1,1102.0,198.0,0.0,1300.0
Pinewood Lake,1,4,0,708.5,60.0,0.0,768.5
Edsall Park,0,5,0,231.0,0.0,0.0,231.0
