,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1236.5,0.0,0.0,1236.5
Fairfax Station,4,1,0,1080.5,0.0,0.0,1080.5
Overlee,3,2,0,1058.5,0.0,0.0,1058.5
Vienna Woods,2,3,0,1002.5,0.0,0.0,1002.5
Tuckahoe,1,4,0,1026.0,0.0,0.0,1026.0
Little Rocky Run,0,5,0,616.0,0.0,0.0,616.0
Hamlet,4,0,1,1108.0,0.0,0.0,1108.0
Cardinal Hill,4,1,0,1062.0,0.0,0.0,1062.0
Virginia Run,3,1,1,1066.0,0.0,0.0,1066.0
Pinecrest,2,3,0,978.0,0.0,0.0,978.0
Vienna Aquatic,1,4,0,981.0,0.0,0.0,981.0
Waynewood,0,5,0,835.0,0.0,0.0,835.0
Lee Graham,5,0,0,1091.0,0.0,0.0,1091.0
Orange Hunt,3,2,0,1042.0,0.0,0.0,1042.0
Dunn Loring,3,2,0,1039.0,0.0,0.0,1039.0
Oakton,3,2,0,998.0,0.0,0.0,998.0
Sleepy Hollow Rec,1,4,0,912.0,0.0,0.0,912.0
Sully Station,0,5,0,947.0,0.0,0.0,947.0
Donaldson Run,4,1,0,1031.0,0.0,0.0,1031.0
South Run,3,2,0,1028.0,0.0,0.0,1028.0
Poplar Heights,2,3,0,1015.0,0.0,0.0,1015.0
Ravensworth Farm,2,3,0,989.0,0.0,0.0,989.0
Crosspointe,2,3,0,984.0,0.0,0.0,984.0
Wakefield Chapel,2,3,0,983.0,0.0,0.0,983.0
Sideburn Run,5,0,0,1216.5,0.0,0.0,1216.5
Hayfield Farm,4,1,0,1034.5,0.0,0.0,1034.5
Highlands Swim,2,2,1,1025.0,0.0,0.0,1025.0
Sleepy Hollow B & R,2,3,0,990.0,0.0,0.0,990.0
Mantua,1,3,1,957.0,0.0,0.0,957.0
Rutherford,0,5,0,798.0,0.0,0.0,798.0
Hunter Mill,4,0,0,873.0,0.0,0.0,873.0
Daventry,3,1,0,816.0,0.0,0.0,816.0
McLean,2,2,0,789.0,0.0,0.0,789.0
Herndon,1,3,0,790.0,0.0,0.0,790.0
Riverside Gardens,0,4,0,752.0,0.0,0.0,752.0
Poplar Tree,4,0,0,959.0,0.0,0.0,959.0
Fox Mill Woods,3,1,0,858.0,0.0,0.0,858.0
Hiddenbrook,2,2,0,810.0,0.0,0.0,810.0
Walden Glen,1,3,0,730.0,0.0,0.0,730.0
Arlington Forest,0,4,0,656.0,0.0,0.0,656.0
Forest Hollow,5,0,0,1256.0,0.0,0.0,1256.0
High Point Pool,4,1,0,1079.5,0.0,0.0,1079.5
Mansion House,3,2,0,1069.0,0.0,0.0,1069.0
Great Falls,2,3,0,957.5,0.0,0.0,957.5
Stratford,1,4,0,844.0,0.0,0.0,844.0
Old Keene Mill,0,5,0,807.0,0.0,0.0,807.0
Hunt Valley,5,0,0,1151.5,0.0,0.0,1151.5
Country Club Hills,4,1,0,1086.0,0.0,0.0,1086.0
Greenbriar,3,2,0,1046.5,0.0,0.0,1046.5
Fox Hunt,2,3,0,1016.5,0.0,0.0,1016.5
Dowden Terrace,1,4,0,951.0,0.0,0.0,951.0
Canterbury Woods,0,5,0,773.5,0.0,0.0,773.5
Commonwealth,4,1,0,1153.0,0.0,0.0,1153.0
Brookfield,4,1,0,1110.0,0.0,0.0,1110.0
Fairfax,4,1,0,1066.5,0.0,0.0,1066.5
Dominion Hills,2,3,0,1002.5,0.0,0.0,1002.5
Fox Mill Estates,0,4,1,874.0,0.0,0.0,874.0
Holmes Run Acres,0,4,1,808.0,0.0,0.0,808.0
Cottontail,5,0,0,1258.0,0.0,0.0,1258.0
Springfield,4,1,0,1021.0,0.0,0.0,1021.0
Villa Aquatic,3,2,0,1054.0,0.0,0.0,1054.0
Camelot,2,3,0,916.0,0.0,0.0,916.0
Langley,1,4,0,876.5,0.0,0.0,876.5
Mount Vernon Park,0,5,0,889.5,0.0,0.0,889.5
Lakevale Estates,4,0,0,869.5,0.0,0.0,869.5
Mosby Woods,3,1,0,823.0,0.0,0.0,823.0
Woodley,2,2,0,817.0,0.0,0.0,817.0
Parklawn,1,3,0,772.5,0.0,0.0,772.5
Kings Ridge,0,4,0,716.0,0.0,0.0,716.0
Sully Station II,4,0,0,959.5,0.0,0.0,959.5
Kent Gardens,3,1,0,960.5,0.0,0.0,960.5
Lakeview,2,2,0,802.0,0.0,0.0,802.0
Ilda Community,1,3,0,655.0,0.0,0.0,655.0
Lake Braddock,0,4,0,556.0,0.0,0.0,556.0
Rolling Forest,5,0,0,1142.5,0.0,0.0,1142.5
Newington Forest,4,1,0,1024.0,0.0,0.0,1024.0
Annandale,3,2,0,1120.0,0.0,0.0,1120.0
Fairfax Club Estates,2,3,0,987.0,0.0,0.0,987.0
Parliament,1,4,0,888.0,0.0,0.0,888.0
Lincolnia Park,0,5,0,807.5,0.0,0.0,807.5
Royal Pool,0,0,0,0.0,0.0,0.0,0.0
Shouse Village,0,0,0,0.0,0.0,0.0,0.0
Truro,0,0,0,0.0,0.0,0.0,0.0
Burke Station,0,0,0,0.0,0.0,0.0,0.0
Highland Park,0,0,0,0.0,0.0,0.0,0.0
North Springfield,0,0,0,0.0,0.0,0.0,0.0
Rolling Hills,5,0,0,1375.0,0.0,0.0,1375.0
Springboard,4,1,0,1067.0,0.0,0.0,1067.0
Village West,3,2,0,1073.0,0.0,0.0,1073.0
Virginia Hills,2,3,0,1016.0,0.0,0.0,1016.0
Hollin Meadows,1,4,0,789.0,0.0,0.0,789.0
Pleasant Valley,0,5,0,675.0,0.0,0.0,675.0
Fair Oaks,5,0,0,1155.0,0.0,0.0,1155.0
Little Hunting Park,4,1,0,1103.0,0.0,0.0,1103.0
Long Branch,2,2,1,1004.0,0.0,0.0,1004.0
Broyhill Crest,1,3,1,952.0,0.0,0.0,952.0
Somerset-Olde Creek,1,4,0,851.0,0.0,0.0,851.0
Brandywine,1,4,0,818.0,0.0,0.0,818.0
Hollin Hills,5,0,0,1110.0,0.0,0.0,1110.0
Rolling Valley,4,1,0,1256.5,0.0,0.0,1256.5
Edsall Park,3,2,0,1124.5,0.0,0.0,1124.5
Pinewood Lake,2,3,0,794.0,0.0,0.0,794.0
Bren Mar,1,4,0,633.0,0.0,0.0,633.0
Newington Station,0,5,0,459.0,0.0,0.0,459.0
