,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Overlee,5,0,0,1288.0,208.0,620.0,2116.0
Chesterbrook,4,1,0,1172.0,194.0,523.0,1889.0
Vienna Aquatic,3,2,0,976.0,160.0,410.0,1546.0
Hamlet,2,3,0,905.0,120.0,266.0,1291.0
Little Rocky Run,1,4,0,865.0,132.0,321.0,1318.0
Lee Graham,0,5,0,820.0,140.0,338.0,1298.0
Fairfax Station,5,0,0,1148.0,208.0,352.0,1708.0
Tuckahoe,3,1,1,1026.0,176.0,322.0,1524.0
Oakton,3,2,0,1015.0,158.0,200.0,1373.0
Hunter Mill,2,2,1,1030.0,154.0,328.0,1512.0
Donaldson Run,1,4,0,905.0,140.0,214.0,1259.0
Vienna Woods,0,5,0,906.0,126.0,194.0,1226.0
McLean,5,0,0,1172.0,212.0,352.0,1736.0
Highlands Swim,4,1,0,1104.0,140.0,146.0,1390.0
Crosspointe,2,3,0,1091.0,198.0,244.0,1533.0
Orange Hunt,2,3,0,908.0,134.0,134.0,1176.0
Sully Station,2,3,0,939.0,154.0,62.0,1155.0
Sleepy Hollow B & R,0,5,0,814.0,120.0,56.0,990.0
South Run,4,1,0,1089.0,194.0,248.0,1531.0
Wakefield Chapel,4,1,0,1040.0,170.0,98.0,1308.0
Fox Mill Woods,3,2,0,935.0,144.0,66.0,1145.0
High Point Pool,2,3,0,1036.0,152.0,166.0,1354.0
Virginia Run,1,4,0,979.0,154.0,132.0,1265.0
Waynewood,1,4,0,951.0,146.0,132.0,1229.0
Dunn Loring,5,0,0,1076.0,168.0,112.0,1356.0
Mansion House,4,1,0,1081.0,164.0,124.0,1369.0
Cardinal Hill,3,2,0,1043.0,158.0,28.0,1229.0
Pinecrest,2,3,0,1020.0,174.0,120.0,1314.0
Villa Aquatic,1,4,0,891.0,144.0,58.0,1093.0
Langley,0,5,0,919.0,144.0,78.0,1141.0
Fairfax,5,0,0,1200.0,196.0,150.0,1546.0
Mount Vernon Park,3,2,0,1050.0,160.0,214.0,1424.0
Lakevale Estates,3,2,0,1038.0,177.0,146.0,1361.0
Greenbriar,3,2,0,1002.0,146.0,30.0,1178.0
Brookfield,1,4,0,873.0,132.0,0.0,1005.0
Hunt Valley,0,5,0,866.0,157.0,58.0,1081.0
Ravensworth Farm,5,0,0,1160.0,182.0,0.0,1342.0
Mantua,3,1,1,1031.0,120.0,66.0,1217.0
Sideburn Run,2,2,1,1027.0,182.0,0.0,1209.0
Commonwealth,2,3,0,944.0,188.0,82.0,1214.0
Poplar Heights,1,4,0,950.0,142.0,30.0,1122.0
Hollin Meadows,1,4,0,910.0,144.0,30.0,1084.0
Dowden Terrace,5,0,0,1086.0,178.0,60.0,1324.0
Fox Hunt,4,1,0,1075.0,196.0,78.0,1349.0
Parliament,3,2,0,1044.0,154.0,58.0,1256.0
Dominion Hills,2,3,0,970.0,136.0,0.0,1106.0
Forest Hollow,1,4,0,969.0,166.0,0.0,1135.0
Country Club Hills,0,5,0,873.0,114.0,22.0,1009.0
Fairfax Club Estates,5,0,0,1138.0,188.0,10.0,1336.0
Walden Glen,3,2,0,1012.0,170.0,42.0,1224.0
Shouse Village,3,2,0,973.0,162.0,78.0,1213.0
Canterbury Woods,2,3,0,946.0,140.0,56.0,1142.0
Poplar Tree,1,4,0,981.0,134.0,84.0,1199.0
Fox Mill Estates,1,4,0,970.0,162.0,28.0,1160.0
Mosby Woods,4,1,0,1087.0,188.0,80.0,1355.0
Riverside Gardens,4,1,0,1087.0,180.0,66.0,1333.0
Daventry,3,2,0,1024.0,180.0,80.0,1284.0
Highland Park,3,2,0,1079.0,170.0,16.0,1265.0
Kent Gardens,1,4,0,1009.0,120.0,0.0,1129.0
Sleepy Hollow Rec,0,5,0,735.0,106.0,0.0,841.0
Holmes Run Acres,4,1,0,1081.0,196.0,12.0,1289.0
Camelot,4,1,0,1064.0,176.0,30.0,1270.0
Rolling Forest,3,2,0,1018.0,128.0,0.0,1146.0
Arlington Forest,2,3,0,1013.0,188.0,46.0,1247.0
Truro,2,3,0,958.0,146.0,50.0,1154.0
Rolling Hills,0,5,0,888.0,116.0,0.0,1004.0
Sully Station II,5,0,0,1147.0,216.0,0.0,1363.0
Lake Braddock,4,1,0,1092.0,164.0,0.0,1256.0
Rutherford,2,3,0,1023.0,160.0,54.0,1237.0
Old Keene Mill,2,3,0,916.0,120.0,0.0,1036.0
Pleasant Valley,1,4,0,915.0,155.0,0.0,1070.0
