,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Hiddenbrook,1,4,0,904.0,147.0,0.0,1051.0
Hayfield Farm,5,0,0,1182.0,208.0,30.0,1420.0
Long Branch,4,1,0,1090.0,190.0,14.0,1294.0
Little Hunting Park,2,3,0,1020.0,152.0,0.0,1172.0
Fair Oaks,2,3,0,1004.0,138.0,0.0,1142.0
Newington Forest,2,3,0,956.0,152.0,0.0,1108.0
Stratford,0,5,0,771.0,92.0,0.0,863.0
Springboard,5,0,0,1089.0,190.0,0.0,1279.0
Great Falls,4,1,0,1073.0,186.0,0.0,1259.0
Burke Station,3,2,0,1043.0,128.0,0.0,1171.0
Village West,2,3,0,999.0,160.0,0.0,1159.0
Springfield,1,4,0,887.0,80.0,0.0,967.0
Woodley,0,5,0,894.0,158.0,10.0,1062.0
Lakeview,5,0,0,1101.0,174.0,36.0,1311.0
Laurel Hill,3,2,0,1034.0,186.0,0.0,1220.0
Parklawn,3,2,0,1013.0,154.0,0.0,1167.0
Brandywine,2,3,0,1053.0,146.0,14.0,1213.0
Cottontail,2,3,0,932.0,128.0,0.0,1060.0
Lincolnia Park,0,5,0,861.0,140.0,0.0,1001.0
Ilda Community,5,0,0,1116.0,172.0,0.0,1288.0
Kings Ridge,4,1,0,1106.0,168.0,98.0,1372.0
Annandale,3,2,0,1028.0,164.0,0.0,1192.0
North Springfield,2,3,0,974.0,156.0,0.0,1130.0
Herndon,1,4,0,847.0,92.0,0.0,939.0
Somerset-Olde Creek,0,5,0,849.0,140.0,0.0,989.0
Hollin Hills,5,0,0,1149.0,186.0,0.0,1335.0
Rolling Valley,4,1,0,1252.0,198.0,0.0,1450.0
Broyhill Crest,3,2,0,1020.0,112.0,0.0,1132.0
Virginia Hills,1,3,0,692.0,138.0,0.0,830.0
Bren Mar-Edsall Park,1,4,0,825.0,38.0,0.0,863.0
Pinewood Lake,0,4,0,368.0,64.0,0.0,432.0
