,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Highlands Swim,0,0,0,0.0,0.0,0.0,0.0
Overlee,0,0,0,0.0,0.0,0.0,0.0
Tuckahoe,0,0,0,0.0,0.0,0.0,0.0
Chesterbrook,0,0,0,0.0,0.0,0.0,0.0
Donaldson Run,0,0,0,0.0,0.0,0.0,0.0
Dowden Terrace,0,0,0,0.0,0.0,0.0,0.0
McLean,0,0,0,0.0,0.0,0.0,0.0
Mount Vernon Park,0,0,0,0.0,0.0,0.0,0.0
Wakefield Chapel,0,0,0,0.0,0.0,0.0,0.0
Crosspointe,0,0,0,0.0,0.0,0.0,0.0
Hamlet,0,0,0,0.0,0.0,0.0,0.0
Langley,0,0,0,0.0,0.0,0.0,0.0
Little Rocky Run,0,0,0,0.0,0.0,0.0,0.0
Vienna Woods,0,0,0,0.0,0.0,0.0,0.0
Virginia Run,0,0,0,0.0,0.0,0.0,0.0
Fair Oaks,0,0,0,0.0,0.0,0.0,0.0
High Point Pool,0,0,0,0.0,0.0,0.0,0.0
Hunt Valley,0,0,0,0.0,0.0,0.0,0.0
Orange Hunt,0,0,0,0.0,0.0,0.0,0.0
Sideburn Run,0,0,0,0.0,0.0,0.0,0.0
Vienna Aquatic,0,0,0,0.0,0.0,0.0,0.0
Cardinal Hill,0,0,0,0.0,0.0,0.0,0.0
Kent Gardens,0,0,0,0.0,0.0,0.0,0.0
Oakton,0,0,0,0.0,0.0,0.0,0.0
Mantua,0,0,0,0.0,0.0,0.0,0.0
Old Keene Mill,0,0,0,0.0,0.0,0.0,0.0
Sleepy Hollow Rec,0,0,0,0.0,0.0,0.0,0.0
Brandywine,0,0,0,0.0,0.0,0.0,0.0
Hiddenbrook,0,0,0,0.0,0.0,0.0,0.0
Hunter Mill,0,0,0,0.0,0.0,0.0,0.0
Lee Graham,0,0,0,0.0,0.0,0.0,0.0
Virginia Hills,0,0,0,0.0,0.0,0.0,0.0
Walden Glen,0,0,0,0.0,0.0,0.0,0.0
Country Club Hills,0,0,0,0.0,0.0,0.0,0.0
Fairfax Club Estates,0,0,0,0.0,0.0,0.0,0.0
Lakeview,0,0,0,0.0,0.0,0.0,0.0
Sleepy Hollow B & R,0,0,0,0.0,0.0,0.0,0.0
Villa Aquatic,0,0,0,0.0,0.0,0.0,0.0
Waynewood,0,0,0,0.0,0.0,0.0,0.0
Lakevale Estates,0,0,0,0.0,0.0,0.0,0.0
Pinecrest,0,0,0,0.0,0.0,0.0,0.0
Ravensworth Farm,0,0,0,0.0,0.0,0.0,0.0
Greenbriar,0,0,0,0.0,0.0,0.0,0.0
Hollin Meadows,0,0,0,0.0,0.0,0.0,0.0
Sully Station,0,0,0,0.0,0.0,0.0,0.0
Dominion Hills,0,0,0,0.0,0.0,0.0,0.0
Dunn Loring,0,0,0,0.0,0.0,0.0,0.0
Fox Mill Woods,0,0,0,0.0,0.0,0.0,0.0
Mosby Woods,0,0,0,0.0,0.0,0.0,0.0
South Run,0,0,0,0.0,0.0,0.0,0.0
Arlington Forest,0,0,0,0.0,0.0,0.0,0.0
Fairfax Station,0,0,0,0.0,0.0,0.0,0.0
Great Falls,0,0,0,0.0,0.0,0.0,0.0
Little Hunting Park,0,0,0,0.0,0.0,0.0,0.0
Riverside Gardens,0,0,0,0.0,0.0,0.0,0.0
Rutherford,0,0,0,0.0,0.0,0.0,0.0
Springboard,0,0,0,0.0,0.0,0.0,0.0
Camelot,0,0,0,0.0,0.0,0.0,0.0
Fairfax,0,0,0,0.0,0.0,0.0,0.0
Fox Mill Estates,0,0,0,0.0,0.0,0.0,0.0
Poplar Heights,0,0,0,0.0,0.0,0.0,0.0
Somerset-Olde Creek,0,0,0,0.0,0.0,0.0,0.0
Stratford,0,0,0,0.0,0.0,0.0,0.0
Brookfield,0,0,0,0.0,0.0,0.0,0.0
Canterbury Woods,0,0,0,0.0,0.0,0.0,0.0
Highland Park,0,0,0,0.0,0.0,0.0,0.0
Rolling Forest,0,0,0,0.0,0.0,0.0,0.0
Rolling Hills,0,0,0,0.0,0.0,0.0,0.0
Truro,0,0,0,0.0,0.0,0.0,0.0
Annandale,0,0,0,0.0,0.0,0.0,0.0
Hayfield Farm,0,0,0,0.0,0.0,0.0,0.0
Holmes Run Acres,0,0,0,0.0,0.0,0.0,0.0
Kings Ridge,0,0,0,0.0,0.0,0.0,0.0
