,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1301.0,246.0,660.0,2207.0
Overlee,4,1,0,1280.0,212.0,594.0,2086.0
Tuckahoe,3,2,0,982.0,162.0,412.0,1556.0
Hamlet,2,3,0,916.0,102.0,184.0,1202.0
Fairfax Station,1,4,0,849.0,144.0,312.0,1305.0
Vienna Aquatic,0,5,0,691.0,86.0,134.0,911.0
McLean,4,1,0,1079.0,176.0,288.0,1543.0
Oakton,4,1,0,1068.0,172.0,272.0,1512.0
Lee Graham,3,2,0,1043.0,204.0,306.0,1553.0
Highlands Swim,3,2,0,1113.0,150.0,282.0,1545.0
Little Rocky Run,1,4,0,881.0,146.0,250.0,1277.0
Vienna Woods,0,5,0,838.0,114.0,78.0,1030.0
Hunter Mill,4,1,0,1051.0,174.0,186.0,1411.0
Fairfax,4,1,0,1050.0,182.0,134.0,1366.0
Wakefield Chapel,3,1,1,1054.0,172.0,162.0,1388.0
Donaldson Run,2,3,0,1027.0,168.0,277.0,1472.0
Dunn Loring,1,3,1,980.0,132.0,90.0,1202.0
Fox Mill Woods,0,5,0,868.0,128.0,66.0,1062.0
Crosspointe,5,0,0,1180.0,182.0,209.0,1571.0
Mosby Woods,4,1,0,1079.0,201.0,304.0,1584.0
Mansion House,3,2,0,1017.0,150.0,91.0,1258.0
Cardinal Hill,2,3,0,959.0,136.0,18.0,1113.0
High Point Pool,1,4,0,879.0,161.0,68.0,1108.0
Sully Station,0,5,0,909.0,130.0,150.0,1189.0
Mount Vernon Park,5,0,0,1098.0,180.0,254.0,1532.0
Lakevale Estates,4,1,0,1078.0,158.0,90.0,1326.0
Langley,3,2,0,1042.0,170.0,214.0,1426.0
South Run,2,3,0,958.0,168.0,158.0,1284.0
Virginia Run,1,4,0,1030.0,146.0,46.0,1222.0
Dowden Terrace,0,5,0,821.0,136.0,110.0,1067.0
Hunt Valley,5,0,0,1111.0,180.0,186.0,1477.0
Sideburn Run,4,1,0,1040.0,200.0,142.0,1382.0
Pinecrest,3,2,0,1035.0,152.0,102.0,1289.0
Orange Hunt,2,3,0,988.0,144.0,120.0,1252.0
Fox Hunt,1,4,0,947.0,154.0,54.0,1155.0
Waynewood,0,5,0,897.0,138.0,112.0,1147.0
Sully Station II,5,0,0,1133.0,178.0,26.0,1337.0
Greenbriar,4,1,0,1170.0,206.0,72.0,1448.0
Riverside Gardens,3,2,0,979.0,148.0,38.0,1165.0
Sleepy Hollow B & R,2,3,0,1041.0,190.0,100.0,1331.0
Ravensworth Farm,1,4,0,865.0,120.0,52.0,1037.0
Shouse Village,0,5,0,834.0,118.0,68.0,1020.0
Poplar Tree,5,0,0,1201.0,200.0,40.0,1441.0
Mantua,4,1,0,1136.0,184.0,0.0,1320.0
Villa Aquatic,2,3,0,1059.0,176.0,72.0,1307.0
Highland Park,2,3,0,921.0,152.0,0.0,1073.0
Fox Mill Estates,2,3,0,932.0,126.0,14.0,1072.0
Dominion Hills,0,5,0,779.0,128.0,0.0,907.0
Forest Hollow,5,0,0,1039.0,166.0,0.0,1205.0
Poplar Heights,4,1,0,1037.0,198.0,68.0,1303.0
Kent Gardens,2,3,0,996.0,128.0,16.0,1140.0
Arlington Forest,2,3,0,969.0,134.0,0.0,1103.0
Hollin Meadows,1,4,0,976.0,184.0,78.0,1238.0
Fairfax Club Estates,1,4,0,999.0,152.0,0.0,1151.0
Brookfield,4,1,0,1061.0,138.0,24.0,1223.0
Holmes Run Acres,3,2,0,1097.0,186.0,0.0,1283.0
Commonwealth,3,2,0,1006.0,122.0,42.0,1170.0
Hayfield Farm,2,3,0,1021.0,174.0,96.0,1291.0
Parliament,2,3,0,973.0,178.0,123.0,1274.0
Truro,1,4,0,866.0,152.0,0.0,1018.0
Canterbury Woods,5,0,0,1175.0,200.0,76.0,1451.0
Great Falls,4,1,0,1153.0,194.0,30.0,1377.0
Long Branch,3,2,0,1068.0,162.0,12.0,1242.0
Walden Glen,1,4,0,925.0,144.0,56.0,1125.0
Camelot,1,4,0,873.0,148.0,0.0,1021.0
Springboard,1,4,0,822.0,102.0,0.0,924.0
Rolling Forest,5,0,0,1225.0,220.0,0.0,1445.0
Fair Oaks,4,1,0,1173.0,190.0,46.0,1409.0
Country Club Hills,3,2,0,1015.0,182.0,16.0,1213.0
Daventry,2,3,0,893.0,120.0,0.0,1013.0
Burke Station,1,4,0,883.0,128.0,4.0,1015.0
Newington Forest,0,5,0,831.0,68.0,0.0,899.0
Brandywine,5,0,0,1210.0,204.0,10.0,1424.0
Old Keene Mill,4,1,0,1062.0,162.0,64.0,1288.0
Hiddenbrook,3,2,0,1010.0,160.0,0.0,1170.0
Rolling Hills,2,3,0,930.0,132.0,0.0,1062.0
Little Hunting Park,1,4,0,939.0,128.0,0.0,1067.0
Laurel Hill,0,5,0,855.0,148.0,0.0,1003.0
Sleepy Hollow Rec,5,0,0,1063.0,192.0,14.0,1269.0
Kings Ridge,4,1,0,1115.0,202.0,0.0,1317.0
Rutherford,3,2,0,1003.0,150.0,0.0,1153.0
Village West,2,3,0,1017.0,140.0,0.0,1157.0
Lake Braddock,1,4,0,915.0,140.0,0.0,1055.0
Pleasant Valley,0,5,0,910.0,92.0,0.0,1002.0
Cottontail,5,0,0,1329.0,216.0,44.0,1589.0
Ilda Community,3,2,0,1074.0,136.0,0.0,1210.0
Parklawn,3,2,0,995.0,184.0,0.0,1179.0
Lincolnia Park,3,2,0,1025.0,148.0,2.0,1175.0
Lakeview,1,4,0,822.0,126.0,0.0,948.0
Somerset-Olde Creek,0,5,0,705.0,68.0,0.0,773.0
Stratford,4,1,0,1164.0,200.0,0.0,1364.0
Woodley,4,1,0,1138.0,192.0,0.0,1330.0
Annandale,4,1,0,1134.0,194.0,0.0,1328.0
Hollin Hills,2,3,0,971.0,92.0,0.0,1063.0
North Springfield,1,4,0,859.0,102.0,0.0,961.0
Springfield,0,5,0,502.0,42.0,0.0,544.0
Herndon,5,0,0,1274.0,200.0,0.0,1474.0
Rolling Valley,4,1,0,1337.0,248.0,0.0,1585.0
Bren Mar-Edsall Park,2,2,0,630.0,90.0,0.0,720.0
Virginia Hills,2,3,0,875.0,88.0,0.0,963.0
Broyhill Crest,1,3,0,821.0,164.0,0.0,985.0
Pinewood Lake,0,5,0,482.0,14.0,0.0,496.0
