,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Great Falls,5,0,0,1143.0,182.0,38.0,1363.0
Dowden Terrace,4,1,0,1063.0,188.0,38.0,1289.0
Highland Park,2,3,0,998.0,146.0,32.0,1176.0
Hollin Meadows,1,3,1,1029.0,172.0,34.0,1235.0
Dominion Hills,1,3,1,995.0,126.0,16.0,1137.0
Brandywine,1,4,0,1064.0,148.0,56.0,1268.0
Fair Oaks,5,0,0,1248.0,198.0,38.0,1484.0
Holmes Run Acres,4,1,0,1169.0,190.0,38.0,1397.0
Hayfield Farm,3,2,0,1052.0,176.0,66.0,1294.0
South Run,1,4,0,947.0,134.0,16.0,1097.0
Parliament,1,4,0,926.0,148.0,10.0,1084.0
Fox Hunt,1,4,0,940.0,104.0,9.0,1053.0
Villa Aquatic,5,0,0,1200.0,198.0,18.0,1416.0
Shouse Village,3,2,0,1065.0,172.0,41.0,1278.0
Cottontail,2,3,0,1044.0,170.0,40.0,1254.0
Kent Gardens,2,3,0,1001.0,134.0,40.0,1175.0
Arlington Forest,2,3,0,1006.0,146.0,0.0,1152.0
Brookfield,1,4,0,975.0,140.0,0.0,1115.0
Canterbury Woods,4,1,0,1167.0,198.0,98.0,1463.0
Country Club Hills,4,1,0,1169.0,188.0,0.0,1357.0
Walden Glen,3,2,0,1020.0,138.0,0.0,1158.0
Hiddenbrook,2,3,0,1033.0,166.0,0.0,1199.0
Camelot,2,3,0,1009.0,132.0,10.0,1151.0
Commonwealth,0,5,0,866.0,126.0,0.0,992.0
Stratford,5,0,0,1183.0,198.0,12.0,1393.0
Rolling Forest,4,1,0,1207.0,222.0,42.0,1471.0
Fox Mill Estates,3,2,0,1129.0,144.0,61.0,1334.0
Fairfax Club Estates,1,4,0,1001.0,114.0,0.0,1115.0
Long Branch,1,4,0,901.0,146.0,26.0,1073.0
Rolling Hills,1,4,0,827.0,110.0,0.0,937.0
Old Keene Mill,5,0,0,1207.0,200.0,0.0,1407.0
Rutherford,3,2,0,1070.0,162.0,28.0,1260.0
Sleepy Hollow Rec,3,2,0,1061.0,150.0,44.0,1255.0
Truro,2,3,0,1042.0,146.0,0.0,1188.0
Village West,2,3,0,982.0,166.0,0.0,1148.0
Little Hunting Park,0,5,0,920.0,122.0,20.0,1062.0
Laurel Hill,5,0,0,1226.0,208.0,8.0,1442.0
Kings Ridge,4,1,0,1198.0,181.0,0.0,1379.0
Springboard,3,2,0,1043.0,162.0,0.0,1205.0
Annandale,2,3,0,1075.0,175.0,0.0,1250.0
Ilda Community,1,4,0,833.0,130.0,0.0,963.0
Newington Forest,0,5,0,849.0,90.0,0.0,939.0
Lakeview,5,0,0,1268.0,194.0,0.0,1462.0
Burke Station,4,1,0,1141.0,176.0,0.0,1317.0
Rolling Valley,2,2,1,1045.0,190.0,0.0,1235.0
Woodley,2,3,0,985.0,150.0,46.0,1181.0
Parklawn,1,3,1,945.0,118.0,0.0,1063.0
Daventry,0,5,0,883.0,104.0,0.0,987.0
Lake Braddock,4,1,0,1116.0,202.0,0.0,1318.0
Hollin Hills,4,1,0,1031.0,140.0,0.0,1171.0
Lincolnia Park,2,3,0,1085.0,144.0,0.0,1229.0
Somerset-Olde Creek,2,3,0,1027.0,176.0,0.0,1203.0
Pleasant Valley,2,3,0,987.0,144.0,0.0,1131.0
Herndon,1,4,0,911.0,64.0,0.0,975.0
Virginia Hills,5,0,0,1411.0,200.0,0.0,1611.0
North Springfield,4,1,0,1116.0,156.0,0.0,1272.0
Broyhill Crest,3,2,0,1052.0,164.0,0.0,1216.0
Bren Mar-Edsall Park,2,3,0,997.0,128.0,0.0,1125.0
Pinewood Lake,1,4,0,843.0,78.0,0.0,921.0
Springfield,0,5,0,643.0,92.0,0.0,735.0
