,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1279.0,197.0,592.0,2068.0
Overlee,4,1,0,1248.0,202.0,668.0,2118.0
McLean,2,2,1,1104.0,193.0,484.0,1781.0
Tuckahoe,2,2,1,1088.0,160.0,440.0,1688.0
Highlands Swim,1,4,0,940.0,132.0,302.0,1374.0
Vienna Woods,0,5,0,637.0,78.0,62.0,777.0
Vienna Aquatic,5,0,0,1093.0,172.0,248.0,1513.0
Fairfax Station,4,1,0,1093.0,158.0,327.0,1578.0
Oakton,3,2,0,1140.0,178.0,215.0,1533.0
Little Rocky Run,2,3,0,1040.0,144.0,199.0,1383.0
Lee Graham,1,4,0,996.0,148.0,160.0,1304.0
Fairfax,0,5,0,933.0,146.0,180.0,1259.0
Lakevale Estates,4,0,1,1223.0,158.0,64.0,1445.0
Hamlet,3,0,2,1108.0,165.0,110.0,1383.0
Wakefield Chapel,3,2,0,1064.0,177.0,224.0,1465.0
Donaldson Run,1,3,1,1060.0,168.0,228.0,1456.0
Crosspointe,1,4,0,925.0,164.0,226.0,1315.0
Sully Station II,1,4,0,918.0,130.0,62.0,1110.0
Hunt Valley,5,0,0,1272.0,220.0,266.0,1758.0
Mount Vernon Park,4,1,0,1169.0,188.0,234.0,1591.0
Dunn Loring,3,2,0,1095.0,132.0,54.0,1281.0
Pinecrest,2,3,0,978.0,132.0,168.0,1278.0
Mosby Woods,1,4,0,912.0,150.0,106.0,1168.0
Fox Mill Woods,0,5,0,870.0,142.0,148.0,1160.0
Langley,5,0,0,1105.0,174.0,90.0,1369.0
Hunter Mill,4,1,0,1084.0,182.0,118.0,1384.0
Cardinal Hill,3,2,0,1084.0,144.0,22.0,1250.0
Sully Station,2,3,0,1059.0,164.0,212.0,1435.0
Waynewood,1,4,0,1006.0,154.0,98.0,1258.0
Mansion House,0,5,0,958.0,148.0,178.0,1284.0
Riverside Gardens,5,0,0,1209.0,180.0,96.0,1485.0
Mantua,4,1,0,1154.0,154.0,66.0,1374.0
Ravensworth Farm,3,2,0,1086.0,180.0,66.0,1332.0
Forest Hollow,2,3,0,1038.0,162.0,64.0,1264.0
Poplar Tree,1,4,0,986.0,154.0,46.0,1186.0
High Point Pool,0,5,0,823.0,124.0,39.0,986.0
Poplar Heights,5,0,0,1153.0,176.0,198.0,1527.0
Virginia Run,3,1,1,1111.0,164.0,79.0,1354.0
Greenbriar,3,2,0,1095.0,142.0,60.0,1297.0
Sleepy Hollow B & R,2,2,1,1036.0,136.0,74.0,1246.0
Sideburn Run,1,4,0,1017.0,190.0,110.0,1317.0
Orange Hunt,0,5,0,886.0,146.0,112.0,1144.0
