,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Vienna Aquatic,5,0,0,1252.5,216.0,650.0,2118.5
Chesterbrook,4,1,0,1149.0,212.0,576.0,1937.0
Overlee,3,2,0,1040.5,154.0,472.0,1666.5
Tuckahoe,2,3,0,991.0,144.0,334.0,1469.0
Hunter Mill,1,4,0,821.5,118.0,172.0,1111.5
Fairfax Station,0,5,0,770.5,118.0,222.0,1110.5
Little Rocky Run,4,0,0,932.0,188.0,358.0,1478.0
Vienna Woods,3,1,0,797.5,100.0,132.0,1029.5
Sully Station,1,3,0,773.0,168.0,214.0,1155.0
Oakton,1,3,0,782.5,134.0,204.0,1120.5
Wakefield Chapel,1,3,0,735.0,112.0,166.0,1013.0
Hamlet,4,1,0,1167.0,192.0,310.0,1669.0
Donaldson Run,4,1,0,1102.5,189.0,284.0,1575.5
Virginia Run,4,1,0,1075.0,168.0,295.0,1538.0
Orange Hunt,1,4,0,926.5,152.0,172.0,1250.5
Crosspointe,1,4,0,858.0,109.0,109.0,1076.0
South Run,1,4,0,746.0,150.0,128.0,1024.0
Highlands Swim,5,0,0,1222.0,174.0,172.0,1568.0
McLean,4,1,0,1033.0,140.0,242.0,1415.0
Sleepy Hollow B & R,3,2,0,1110.0,204.0,315.0,1629.0
Lee Graham,2,3,0,982.0,166.0,258.0,1406.0
Kent Gardens,1,4,0,880.0,130.0,128.0,1138.0
Sideburn Run,0,5,0,802.0,142.0,146.0,1090.0
Cardinal Hill,5,0,0,1114.0,177.0,120.0,1411.0
Fox Mill Woods,4,1,0,1138.5,196.0,145.0,1479.5
Pinecrest,3,2,0,1043.0,155.0,48.0,1246.0
Waynewood,2,3,0,938.0,150.0,86.0,1174.0
Poplar Heights,1,4,0,953.5,148.0,112.0,1213.5
Greenbriar,0,5,0,843.0,136.0,72.0,1051.0
Country Club Hills,5,0,0,1132.0,196.0,122.0,1450.0
High Point Pool,3,2,0,1094.0,184.0,94.0,1372.0
Ravensworth Farm,3,2,0,1090.0,168.0,78.0,1336.0
Hunt Valley,3,2,0,1053.0,156.0,78.0,1287.0
Poplar Tree,1,4,0,948.5,160.0,0.0,1108.5
Fair Oaks,0,5,0,709.5,84.0,0.0,793.5
Commonwealth,5,0,0,1212.5,220.0,32.0,1464.5
Sleepy Hollow Rec,4,1,0,1097.0,202.0,44.0,1343.0
Dunn Loring,3,2,0,1052.0,158.0,36.0,1246.0
Mount Vernon Park,2,3,0,1035.0,140.0,60.0,1235.0
Herndon,1,4,0,767.5,102.0,0.0,869.5
Forest Hollow,0,5,0,857.0,130.0,0.0,987.0
Langley,5,0,0,1181.0,180.0,92.0,1453.0
Riverside Gardens,4,1,0,1095.5,180.0,56.0,1331.5
Mansion House,3,2,0,1048.0,178.0,128.0,1354.0
Dominion Hills,2,3,0,958.0,152.0,20.0,1130.0
Daventry,1,4,0,921.0,130.0,0.0,1051.0
Sully Station II,0,5,0,823.5,124.0,30.0,977.5
Fairfax,5,0,0,1267.5,222.0,188.0,1677.5
Villa Aquatic,4,1,0,1060.5,178.0,94.0,1332.5
Mantua,2,3,0,1003.0,154.0,0.0,1157.0
Walden Glen,2,3,0,939.0,144.0,30.0,1113.0
Hayfield Farm,2,3,0,950.0,158.0,0.0,1108.0
Rolling Hills,0,5,0,808.0,106.0,0.0,914.0
Dowden Terrace,5,0,0,1167.5,192.0,0.0,1359.5
Brookfield,4,1,0,1131.0,176.0,0.0,1307.0
Highland Park,3,2,0,1096.5,170.0,0.0,1266.5
Lakevale Estates,2,3,0,999.0,142.0,26.0,1167.0
Rutherford,1,4,0,744.0,118.0,0.0,862.0
Cottontail,0,5,0,822.0,150.0,108.0,1080.0
Fairfax Club Estates,4,1,0,1094.0,202.0,66.0,1362.0
Canterbury Woods,4,1,0,1067.0,172.0,0.0,1239.0
Arlington Forest,3,2,0,1031.0,142.0,0.0,1173.0
Rolling Forest,2,3,0,989.0,160.0,0.0,1149.0
Hiddenbrook,1,4,0,942.0,124.0,0.0,1066.0
Stratford,1,4,0,897.0,144.0,0.0,1041.0
Shouse Village,4,0,0,863.0,140.0,0.0,1003.0
Truro,3,1,0,911.0,198.0,80.0,1189.0
Great Falls,2,2,0,770.0,128.0,2.0,900.0
Fox Mill Estates,1,3,0,770.0,136.0,44.0,950.0
Lake Braddock,0,4,0,697.0,86.0,0.0,783.0
Mosby Woods,4,0,0,998.0,198.0,54.0,1250.0
Old Keene Mill,3,1,0,844.0,128.0,0.0,972.0
Kings Ridge,2,2,0,757.0,126.0,56.0,939.0
Lakeview,1,3,0,724.0,118.0,28.0,870.0
Annandale,0,4,0,648.0,90.0,0.0,738.0
Parliament,3,1,0,819.5,140.0,10.0,969.5
Woodley,2,2,0,796.0,164.0,0.0,960.0
Camelot,2,2,0,809.0,140.0,0.0,949.0
Springfield,2,2,0,816.5,112.0,0.0,928.5
Burke Station,1,3,0,767.0,120.0,0.0,887.0
Fox Hunt,4,0,0,856.5,144.0,20.0,1020.5
Hollin Meadows,3,1,0,864.5,158.0,0.0,1022.5
Holmes Run Acres,2,2,0,762.0,146.0,0.0,908.0
Village West,1,3,0,790.0,138.0,66.0,994.0
Newington Forest,0,4,0,741.0,102.0,0.0,843.0
Little Hunting Park,5,0,0,1190.0,214.0,0.0,1404.0
Pleasant Valley,4,1,0,1044.0,186.0,0.0,1230.0
Brandywine,3,2,0,1129.0,144.0,0.0,1273.0
North Springfield,2,3,0,937.0,124.0,0.0,1061.0
Springboard,1,4,0,928.0,126.0,0.0,1054.0
Royal Pool,0,5,0,715.0,112.0,0.0,827.0
Long Branch,5,0,0,1135.0,204.0,0.0,1339.0
Parklawn,4,1,0,1067.0,144.0,0.0,1211.0
Lincolnia Park,2,3,0,993.0,186.0,0.0,1179.0
Ilda Community,2,3,0,1017.0,158.0,0.0,1175.0
Hollin Hills,2,3,0,921.0,100.0,0.0,1021.0
Rolling Valley,0,5,0,814.0,106.0,0.0,920.0
Virginia Hills,5,0,0,1409.0,222.0,0.0,1631.0
Broyhill Crest,4,1,0,1180.0,172.0,0.0,1352.0
Somerset-Olde Creek,3,2,0,1130.0,174.0,0.0,1304.0
Edsall Park,2,3,0,836.0,84.0,0.0,920.0
Pinewood Lake,1,4,0,513.0,48.0,0.0,561.0
Bren Mar,0,5,0,421.0,4.0,0.0,425.0
