,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1342.0,204.0,732.0,2278.0
Overlee,4,1,0,1180.5,218.0,745.0,2143.5
Tuckahoe,3,2,0,1057.0,158.0,426.0,1641.0
McLean,2,3,0,1078.5,140.0,432.0,1650.5
Highlands Swim,1,4,0,788.0,86.0,274.0,1148.0
Wakefield Chapel,0,5,0,854.0,152.0,400.0,1406.0
Hamlet,5,0,0,1168.5,182.0,358.0,1708.5
Hunt Valley,4,1,0,1172.0,186.0,300.0,1658.0
Hunter Mill,3,2,0,1018.0,154.0,108.0,1280.0
Little Rocky Run,2,3,0,1099.0,174.0,241.0,1514.0
Mount Vernon Park,1,4,0,1004.0,144.0,176.0,1324.0
Donaldson Run,0,5,0,834.5,124.0,80.0,1038.5
Fairfax,4,1,0,1153.0,192.0,272.0,1617.0
Ravensworth Farm,4,1,0,1123.5,182.0,126.0,1431.5
Langley,3,2,0,1086.0,166.0,127.0,1379.0
Vienna Aquatic,2,3,0,1028.5,162.0,180.0,1370.5
Vienna Woods,1,4,0,962.5,132.0,134.0,1228.5
Lee Graham,1,4,0,944.5,126.0,48.0,1118.5
Dunn Loring,5,0,0,1114.5,178.0,86.0,1378.5
Poplar Tree,3,2,0,1101.0,152.0,110.0,1363.0
Crosspointe,3,2,0,1084.5,170.0,4.0,1258.5
Virginia Run,2,3,0,1032.0,188.0,70.0,1290.0
Pinecrest,2,3,0,1035.0,134.0,58.0,1227.0
Cottontail,0,5,0,931.0,128.0,44.0,1103.0
Lakevale Estates,5,0,0,1310.0,162.0,48.0,1520.0
Oakton,4,1,0,1101.0,194.0,134.0,1429.0
Fair Oaks,3,2,0,1159.5,192.0,162.0,1513.5
Cardinal Hill,2,3,0,1013.0,148.0,24.0,1185.0
Sleepy Hollow B & R,1,4,0,967.0,182.0,14.0,1163.0
Kent Gardens,0,5,0,749.5,82.0,56.0,887.5
Dowden Terrace,5,0,0,1212.5,164.0,162.0,1538.5
High Point Pool,4,1,0,1097.0,156.0,88.0,1341.0
Greenbriar,3,2,0,1056.5,206.0,160.0,1422.5
Mantua,2,3,0,1044.0,136.0,32.0,1212.0
Fairfax Station,1,4,0,1006.0,152.0,62.0,1220.0
Riverside Gardens,0,5,0,884.0,142.0,76.0,1102.0
Mosby Woods,4,1,0,1132.5,176.0,126.0,1434.5
Sully Station,4,1,0,1113.0,194.0,123.0,1430.0
Arlington Forest,3,2,0,1049.0,176.0,32.0,1257.0
Dominion Hills,3,2,0,1074.5,152.0,12.0,1238.5
Villa Aquatic,1,4,0,1005.0,164.0,60.0,1229.0
Mansion House,0,5,0,926.0,92.0,64.0,1082.0
Lakeview,4,0,1,1092.5,156.0,14.0,1262.5
Orange Hunt,4,1,0,1104.0,178.0,118.0,1400.0
Waynewood,3,2,0,1084.0,172.0,122.0,1378.0
Fox Mill Estates,2,3,0,1042.5,138.0,30.0,1210.5
Hollin Meadows,1,3,1,1004.0,146.0,72.0,1222.0
Highland Park,0,5,0,967.0,170.0,16.0,1153.0
Hiddenbrook,5,0,0,1232.0,198.0,152.0,1582.0
Sideburn Run,4,1,0,1156.0,160.0,40.0,1356.0
Camelot,3,2,0,1057.0,174.0,94.0,1325.0
Great Falls,2,3,0,987.5,134.0,54.0,1175.5
Walden Glen,1,4,0,988.0,140.0,36.0,1164.0
Poplar Heights,0,5,0,873.5,140.0,20.0,1033.5
Country Club Hills,4,0,1,1178.0,158.0,10.0,1346.0
Sleepy Hollow Rec,4,1,0,1162.5,198.0,90.0,1450.5
Fox Mill Woods,3,1,1,1169.5,196.0,100.0,1465.5
Forest Hollow,2,3,0,1085.0,194.0,86.0,1365.0
Sully Station II,1,4,0,1000.5,140.0,560.0,1700.5
Holmes Run Acres,0,5,0,688.5,56.0,228.0,972.5
Rutherford,5,0,0,1183.0,180.0,110.0,1473.0
South Run,4,1,0,1103.5,172.0,677.0,1952.5
Rolling Forest,2,2,1,1072.0,150.0,0.0,1222.0
Laurel Hill,2,3,0,943.5,152.0,0.0,1095.5
Somerset-Olde Creek,1,3,1,1035.5,162.0,550.0,1747.5
Shouse Village,0,5,0,938.5,130.0,64.0,1132.5
Virginia Hills,4,1,0,1109.0,180.0,64.0,1353.0
Canterbury Woods,3,2,0,1075.0,180.0,0.0,1255.0
Brookfield,3,2,0,1039.0,154.0,0.0,1193.0
Fairfax Club Estates,2,2,1,1072.0,176.0,482.0,1730.0
Brandywine,2,3,0,1010.0,64.0,0.0,1074.0
Springboard,0,4,1,981.0,172.0,330.0,1483.0
Annandale,5,0,0,1226.0,170.0,328.0,1724.0
Stratford,4,1,0,1179.5,170.0,296.0,1645.5
Hayfield Farm,2,3,0,1065.0,176.0,408.0,1649.0
Truro,2,3,0,1055.0,146.0,420.0,1621.0
Fox Hunt,2,3,0,1003.5,186.0,330.0,1519.5
Long Branch,0,5,0,759.0,108.0,0.0,867.0
Kings Ridge,5,0,0,1307.0,202.0,54.0,1563.0
Old Keene Mill,4,1,0,1198.0,212.0,465.0,1875.0
Little Hunting Park,3,2,0,1084.0,156.0,26.0,1266.0
Lake Braddock,2,3,0,1063.0,162.0,12.0,1237.0
Woodley,1,4,0,902.0,140.0,42.0,1084.0
Rolling Valley,0,5,0,722.0,64.0,0.0,786.0
Rolling Hills,5,0,0,1167.0,198.0,310.0,1675.0
Ilda Community,4,1,0,1110.0,140.0,174.0,1424.0
Parliament,3,2,0,1036.5,158.0,24.0,1218.5
Hollin Hills,2,3,0,1083.0,110.0,144.0,1337.0
Parklawn,1,4,0,983.0,128.0,186.0,1297.0
