,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Village West,0,5,0,841.5,98.0,136.0,1075.5
Lincolnia Park,4,0,1,1112.5,162.0,228.0,1502.5
Herndon,4,0,1,1152.0,166.0,150.0,1468.0
Daventry,3,2,0,1143.5,194.0,262.0,1599.5
Commonwealth,2,3,0,1017.0,122.0,4.0,1143.0
Pleasant Valley,1,4,0,952.0,110.0,58.0,1120.0
Newington Forest,0,5,0,772.0,110.0,44.0,926.0
Burke Station,5,0,0,1574.0,228.0,194.0,1996.0
North Springfield,4,1,0,1036.0,174.0,0.0,1210.0
Broyhill Crest,3,2,0,1044.0,106.0,0.0,1150.0
Springfield,2,3,0,847.0,118.0,150.0,1115.0
Edsall Park,1,4,0,793.0,100.0,0.0,893.0
Pinewood Lake,0,5,0,626.0,80.0,0.0,706.0
