,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Tuckahoe,5,0,0,1249.0,188.0,644.0,2081.0
Overlee,4,1,0,1258.5,202.0,502.0,1962.5
Chesterbrook,3,2,0,1145.5,186.0,598.0,1929.5
Donaldson Run,2,3,0,1016.5,154.0,454.0,1624.5
Highlands Swim,1,4,0,912.5,132.0,291.0,1335.5
McLean,0,5,0,717.0,94.0,294.0,1105.0
Old Keene Mill,5,0,0,1240.0,226.0,380.0,1846.0
Crosspointe,4,1,0,1141.0,188.0,435.0,1764.0
Langley,3,2,0,1112.0,164.0,304.0,1580.0
Kent Gardens,2,3,0,992.0,124.0,186.0,1302.0
Little Rocky Run,1,4,0,943.0,122.0,110.0,1175.0
Fair Oaks,0,5,0,870.0,142.0,218.0,1230.0
Hunt Valley,4,1,0,1130.0,162.0,136.0,1428.0
High Point Pool,4,1,0,1157.5,168.0,32.0,1357.5
Hamlet,3,2,0,1115.0,168.0,186.0,1469.0
Wakefield Chapel,3,2,0,1048.5,182.0,206.0,1436.5
Orange Hunt,1,4,0,1014.5,146.0,154.0,1314.5
Cardinal Hill,0,5,0,832.5,136.0,58.0,1026.5
Oakton,5,0,0,1251.0,226.0,206.0,1683.0
Mantua,4,1,0,1120.5,168.0,98.0,1386.5
Vienna Woods,3,2,0,1038.5,166.0,32.0,1236.5
Hiddenbrook,1,4,0,965.0,148.0,50.0,1163.0
Little Hunting Park,1,4,0,967.0,122.0,70.0,1159.0
Lee Graham,1,4,0,957.0,126.0,60.0,1143.0
Vienna Aquatic,5,0,0,1233.5,208.0,120.0,1561.5
Virginia Hills,4,1,0,1138.5,172.0,116.0,1426.5
Sleepy Hollow Rec,3,2,0,1056.0,174.0,132.0,1362.0
Virginia Run,2,3,0,1072.5,156.0,90.0,1318.5
Dowden Terrace,1,4,0,915.0,138.0,95.0,1148.0
Mount Vernon Park,0,5,0,879.5,112.0,0.0,991.5
Pinecrest,5,0,0,1197.5,180.0,66.0,1443.5
South Run,3,2,0,1090.5,174.0,60.0,1324.5
Dunn Loring,3,2,0,1042.0,172.0,62.0,1276.0
Fairfax Station,3,2,0,1067.0,158.0,38.0,1263.0
Hunter Mill,1,4,0,976.0,158.0,100.0,1234.0
Lakevale Estates,0,5,0,922.0,100.0,50.0,1072.0
Springboard,5,0,0,1206.5,192.0,24.0,1422.5
