,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Poplar Heights,4,1,0,1116.0,174.0,58.0,1348.0
Fairfax,3,2,0,1139.0,176.0,114.0,1429.0
Cottontail,2,3,0,1018.0,126.0,60.0,1204.0
Ravensworth Farm,1,4,0,1143.0,166.0,12.0,1321.0
Brandywine,0,5,0,657.5,108.0,28.0,793.5
Dominion Hills,5,0,0,1146.0,150.0,38.0,1334.0
Sleepy Hollow B & R,3,2,0,1097.5,162.0,54.0,1313.5
Canterbury Woods,3,2,0,1056.0,150.0,21.0,1227.0
Rolling Hills,2,2,1,1112.0,190.0,118.0,1420.0
Lakeview,1,3,1,983.0,162.0,138.0,1283.0
Country Club Hills,0,5,0,893.5,130.0,20.0,1043.5
Parklawn,4,1,0,1142.0,136.0,79.0,1357.0
Sully Station,3,2,0,1044.0,190.0,78.0,1312.0
Villa Aquatic,3,2,0,1060.0,182.0,54.0,1296.0
Arlington Forest,2,3,0,1076.0,164.0,22.0,1262.0
Camelot,2,3,0,989.0,152.0,28.0,1169.0
Walden Glen,1,4,0,981.0,132.0,0.0,1113.0
Waynewood,5,0,0,1305.0,194.0,60.0,1559.0
Fox Hunt,3,2,0,1117.0,194.0,98.0,1409.0
Mansion House,3,2,0,1058.0,152.0,4.0,1214.0
Holmes Run Acres,2,3,0,1026.0,152.0,42.0,1220.0
Truro,1,4,0,897.5,124.0,28.0,1049.5
Great Falls,1,4,0,880.5,134.0,0.0,1014.5
Hollin Meadows,5,0,0,1180.0,185.0,22.0,1387.0
Highland Park,3,2,0,1086.0,184.0,100.0,1370.0
Mosby Woods,3,2,0,1126.0,168.0,26.0,1320.0
Greenbriar,3,2,0,1105.0,155.0,48.0,1308.0
Sideburn Run,1,4,0,947.0,148.0,0.0,1095.0
Fox Mill Woods,0,5,0,816.0,116.0,0.0,932.0
Forest Hollow,5,0,0,1185.0,138.0,0.0,1323.0
Kings Ridge,4,1,0,1131.0,178.0,28.0,1337.0
Daventry,3,2,0,1029.0,170.0,0.0,1199.0
Poplar Tree,1,4,0,965.0,144.0,82.0,1191.0
Rolling Forest,1,4,0,970.0,146.0,29.0,1145.0
Stratford,1,4,0,988.0,122.0,0.0,1110.0
Brookfield,5,0,0,1143.5,196.0,0.0,1339.5
Fairfax Club Estates,4,1,0,1056.0,110.0,0.0,1166.0
Woodley,3,2,0,1073.0,162.0,46.0,1281.0
Riverside Gardens,2,3,0,1067.0,152.0,0.0,1219.0
Laurel Hill,1,4,0,957.5,152.0,0.0,1109.5
Sully Station II,0,5,0,896.0,120.0,0.0,1016.0
Shouse Village,5,0,0,1200.0,184.0,92.0,1476.0
Rolling Valley,4,1,0,1101.0,206.0,84.0,1391.0
Hayfield Farm,2,3,0,1076.5,168.0,0.0,1244.5
Parliament,2,3,0,1045.5,156.0,12.0,1213.5
Somerset-Olde Creek,2,3,0,1021.0,106.0,0.0,1127.0
Fox Mill Estates,0,5,0,818.0,86.0,58.0,962.0
Lincolnia Park,5,0,0,1207.5,180.0,0.0,1387.5
Commonwealth,4,1,0,1181.0,168.0,0.0,1349.0
Burke Station,3,2,0,1131.0,168.0,0.0,1299.0
Lake Braddock,2,3,0,1021.0,138.0,0.0,1159.0
Annandale,1,4,0,846.0,134.0,0.0,980.0
Rutherford,0,5,0,873.5,148.0,0.0,1021.5
Hollin Hills,5,0,0,1181.5,124.0,0.0,1305.5
Long Branch,3,2,0,1155.0,190.0,0.0,1345.0
Herndon,3,2,0,1023.5,146.0,0.0,1169.5
Village West,2,3,0,997.5,156.0,0.0,1153.5
Ilda Community,1,4,0,976.0,164.0,0.0,1140.0
Broyhill Crest,1,4,0,830.5,118.0,0.0,948.5
Pleasant Valley,5,0,0,1375.0,176.0,0.0,1551.0
Newington Forest,4,1,0,1398.0,236.0,0.0,1634.0
North Springfield,3,2,0,1156.0,150.0,0.0,1306.0
Springfield,2,3,0,1130.0,162.0,0.0,1292.0
Pinewood Lake,1,4,0,471.0,50.0,0.0,521.0
Edsall Park,0,5,0,245.0,24.0,0.0,269.0
