,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1309.0,192.0,620.0,2121.0
Overlee,4,1,0,1162.0,200.0,706.0,2068.0
Tuckahoe,3,2,0,1085.5,186.0,582.0,1853.5
Highlands Swim,2,3,0,1018.5,128.0,442.0,1588.5
McLean,1,4,0,965.0,142.0,472.0,1579.0
Wakefield Chapel,0,5,0,760.0,112.0,336.0,1208.0
Little Rocky Run,4,0,1,1206.5,172.0,186.0,1564.5
Fairfax,3,0,2,1254.0,220.0,356.0,1830.0
Hamlet,3,1,1,1140.0,210.0,249.0,1599.0
Hunt Valley,1,4,0,907.0,156.0,143.0,1206.0
Ravensworth Farm,1,4,0,908.0,91.0,49.0,1048.0
Hunter Mill,1,4,0,883.5,99.0,48.0,1030.5
Langley,5,0,0,1341.0,212.0,328.0,1881.0
Mount Vernon Park,3,2,0,1107.5,198.0,237.0,1542.5
Dowden Terrace,3,2,0,1114.5,172.0,198.0,1484.5
Vienna Aquatic,3,2,0,1149.5,160.0,168.0,1477.5
Dunn Loring,1,4,0,842.0,122.0,54.0,1018.0
Lakevale Estates,0,5,0,741.5,96.0,34.0,871.5
Donaldson Run,5,0,0,1208.0,206.0,241.0,1655.0
Lee Graham,3,2,0,1065.5,173.0,82.0,1320.5
Virginia Run,2,3,0,1015.0,159.0,92.0,1266.0
Crosspointe,2,3,0,1052.0,156.0,58.0,1266.0
Vienna Woods,2,3,0,1009.5,156.0,88.0,1253.5
Poplar Tree,1,4,0,944.0,104.0,12.0,1060.0
High Point Pool,5,0,0,1290.5,198.0,182.0,1670.5
Oakton,4,1,0,1195.0,198.0,132.0,1525.0
Cardinal Hill,3,2,0,1067.0,156.0,54.0,1277.0
Pinecrest,2,3,0,1095.0,160.0,70.0,1325.0
Fair Oaks,1,4,0,897.5,144.0,90.0,1131.5
Cottontail,0,5,0,744.0,102.0,0.0,846.0
Hiddenbrook,5,0,0,1166.0,194.0,61.0,1421.0
Greenbriar,3,2,0,1111.0,182.0,154.0,1447.0
Lakeview,3,2,0,1035.0,132.0,43.0,1210.0
Sleepy Hollow B & R,2,3,0,1022.0,174.0,10.0,1206.0
Sully Station,1,4,0,986.0,164.0,24.0,1174.0
Mosby Woods,1,4,0,969.0,98.0,30.0,1097.0
Mantua,5,0,0,1180.5,188.0,104.0,1472.5
Orange Hunt,4,1,0,1195.0,206.0,182.0,1583.0
Kent Gardens,3,2,0,1059.5,140.0,40.0,1239.5
Arlington Forest,1,4,0,1026.0,152.0,42.0,1220.0
Dominion Hills,1,4,0,964.0,146.0,60.0,1170.0
Fairfax Station,1,4,0,875.0,124.0,55.0,1054.0
Villa Aquatic,5,0,0,1235.0,208.0,122.0,1565.0
Country Club Hills,4,1,0,1144.0,188.0,30.0,1362.0
Waynewood,3,2,0,1067.0,162.0,40.0,1269.0
Fox Mill Estates,2,3,0,989.0,138.0,14.0,1141.0
Riverside Gardens,1,4,0,947.0,122.0,28.0,1097.0
Sideburn Run,0,5,0,914.0,138.0,26.0,1078.0
Fox Mill Woods,4,1,0,1153.0,181.0,134.0,1468.0
Sleepy Hollow Rec,4,1,0,1113.0,124.0,20.0,1257.0
Hollin Meadows,3,2,0,1073.0,178.0,64.0,1315.0
Rutherford,3,2,0,1006.0,158.0,116.0,1280.0
Camelot,1,4,0,1007.0,152.0,110.0,1269.0
Highland Park,0,5,0,927.0,145.0,20.0,1092.0
Walden Glen,5,0,0,1212.5,226.0,64.0,1502.5
Mansion House,4,1,0,1129.0,144.0,72.0,1345.0
Great Falls,3,2,0,1088.0,184.0,32.0,1304.0
