,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Virginia Hills,2,3,0,1004.5,156.0,106.0,1266.5
South Run,1,4,0,936.0,124.0,28.0,1088.0
Forest Hollow,0,5,0,921.0,118.0,0.0,1039.0
Annandale,5,0,0,1158.0,174.0,0.0,1332.0
Laurel Hill,3,2,0,1064.0,162.0,12.0,1238.0
Canterbury Woods,3,2,0,1062.0,162.0,0.0,1224.0
Somerset-Olde Creek,3,2,0,1031.5,176.0,0.0,1207.5
Sully Station II,1,4,0,995.5,144.0,0.0,1139.5
Rolling Forest,0,5,0,934.0,120.0,0.0,1054.0
Poplar Heights,5,0,0,1166.5,162.0,56.0,1384.5
Fairfax Club Estates,3,2,0,1053.0,146.0,24.0,1223.0
Brandywine,2,2,1,1044.0,170.0,22.0,1236.0
Kings Ridge,2,2,1,1013.0,156.0,16.0,1185.0
Stratford,2,3,0,1049.0,154.0,0.0,1203.0
Brookfield,0,5,0,960.5,158.0,32.0,1150.5
Old Keene Mill,4,0,1,1237.0,206.0,10.0,1453.0
Shouse Village,4,1,0,1210.0,184.0,20.0,1414.0
Springboard,2,2,1,1106.5,194.0,50.0,1350.5
Truro,2,3,0,984.5,112.0,0.0,1096.5
Hayfield Farm,2,3,0,924.0,146.0,0.0,1070.0
Fox Hunt,0,5,0,835.0,112.0,4.0,951.0
Rolling Hills,5,0,0,1129.0,190.0,0.0,1319.0
Little Hunting Park,4,1,0,1178.0,130.0,0.0,1308.0
Ilda Community,3,2,0,1023.0,156.0,0.0,1179.0
Holmes Run Acres,2,3,0,1061.0,168.0,18.0,1247.0
Long Branch,1,4,0,960.0,114.0,0.0,1074.0
Lake Braddock,0,5,0,894.0,168.0,0.0,1062.0
Burke Station,5,0,0,1219.0,176.0,0.0,1395.0
Woodley,4,1,0,1203.0,176.0,0.0,1379.0
Hollin Hills,3,2,0,1061.5,140.0,0.0,1201.5
Lincolnia Park,2,3,0,934.5,114.0,0.0,1048.5
Herndon,1,4,0,1011.0,152.0,0.0,1163.0
Parliament,0,5,0,822.0,124.0,30.0,976.0
Rolling Valley,5,0,0,1205.0,202.0,0.0,1407.0
Daventry,3,2,0,1102.0,162.0,0.0,1264.0
Parklawn,3,2,0,1092.0,118.0,0.0,1210.0
Commonwealth,3,2,0,1039.0,166.0,0.0,1205.0
Village West,1,4,0,975.0,164.0,0.0,1139.0
Pleasant Valley,0,5,0,821.0,86.0,0.0,907.0
Broyhill Crest,5,0,0,1228.0,162.0,0.0,1390.0
Newington Forest,4,1,0,1147.0,186.0,0.0,1333.0
North Springfield,3,2,0,1029.0,128.0,0.0,1157.0
Springfield,2,3,0,889.0,130.0,0.0,1019.0
Edsall Park,1,4,0,780.0,68.0,0.0,848.0
Pinewood Lake,0,5,0,786.0,106.0,0.0,892.0
