,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1435.0,248.0,691.0,2374.0
Overlee,4,1,0,1296.0,204.0,556.0,2056.0
Tuckahoe,3,2,0,1093.5,162.0,442.0,1697.5
McLean,2,3,0,996.0,162.0,357.0,1515.0
Highlands Swim,1,4,0,825.0,104.0,170.0,1099.0
Langley,0,5,0,653.5,80.0,118.0,851.5
Wakefield Chapel,5,0,0,1131.5,174.0,268.0,1573.5
Fairfax,4,1,0,1093.0,168.0,254.0,1515.0
Little Rocky Run,3,2,0,1074.5,178.0,320.0,1572.5
Hamlet,2,3,0,1041.5,158.0,290.0,1489.5
Dowden Terrace,1,4,0,1036.0,158.0,274.0,1468.0
Vienna Aquatic,0,5,0,923.5,132.0,112.0,1167.5
Hunt Valley,5,0,0,1161.5,190.0,206.0,1557.5
High Point Pool,4,1,0,1130.0,164.0,217.0,1511.0
Mount Vernon Park,3,2,0,1053.5,171.0,182.0,1406.5
Hunter Mill,2,3,0,1097.0,157.0,147.0,1401.0
Donaldson Run,1,4,0,984.0,162.0,178.0,1324.0
Lee Graham,0,5,0,874.0,120.0,28.0,1022.0
Crosspointe,5,0,0,1179.0,188.0,112.0,1479.0
Vienna Woods,4,1,0,1211.0,204.0,227.0,1642.0
Hiddenbrook,2,3,0,1020.5,150.0,92.0,1262.5
Ravensworth Farm,2,3,0,946.0,106.0,14.0,1066.0
Virginia Run,1,4,0,986.5,166.0,144.0,1296.5
Lakevale Estates,1,4,0,956.0,146.0,94.0,1196.0
Oakton,5,0,0,1241.0,228.0,308.0,1777.0
Cardinal Hill,4,1,0,1222.0,176.0,66.0,1464.0
Greenbriar,2,3,0,1030.0,166.0,104.0,1300.0
Dunn Loring,2,3,0,1021.0,138.0,0.0,1159.0
Pinecrest,2,3,0,976.0,134.0,6.0,1116.0
Poplar Tree,0,5,0,799.0,110.0,78.0,987.0
Fair Oaks,5,0,0,1162.0,179.0,192.0,1533.0
Orange Hunt,4,1,0,1069.0,178.0,142.0,1389.0
Mantua,3,2,0,1091.0,139.0,52.0,1282.0
Villa Aquatic,2,3,0,1085.0,174.0,72.0,1331.0
Lakeview,1,4,0,988.0,154.0,110.0,1252.0
Sleepy Hollow B & R,0,5,0,904.0,144.0,26.0,1074.0
Kent Gardens,5,0,0,1203.5,188.0,154.0,1545.5
Dominion Hills,3,2,0,1000.0,128.0,0.0,1128.0
Mosby Woods,2,3,0,1040.0,162.0,114.0,1316.0
Arlington Forest,2,3,0,1017.5,160.0,112.0,1289.5
Country Club Hills,2,3,0,1079.0,152.0,28.0,1259.0
Sully Station,1,4,0,949.0,166.0,41.0,1156.0
Walden Glen,5,0,0,1197.0,184.0,62.0,1443.0
Waynewood,4,1,0,1109.0,140.0,32.0,1281.0
Fox Mill Woods,3,2,0,1066.0,186.0,126.0,1378.0
Sleepy Hollow Rec,2,3,0,1005.5,140.0,28.0,1173.5
Rutherford,1,4,0,983.0,170.0,150.0,1303.0
Cottontail,0,5,0,931.5,126.0,0.0,1057.5
Sideburn Run,5,0,0,1292.0,216.0,240.0,1748.0
Camelot,4,1,0,1206.5,202.0,148.0,1556.5
Riverside Gardens,3,2,0,1003.0,138.0,28.0,1169.0
Hollin Meadows,2,3,0,961.0,142.0,50.0,1153.0
Fox Mill Estates,1,4,0,956.5,142.0,0.0,1098.5
Mansion House,0,5,0,865.0,120.0,46.0,1031.0
Virginia Hills,5,0,0,1274.5,194.0,136.0,1604.5
Great Falls,4,1,0,1050.5,162.0,28.0,1240.5
Somerset-Olde Creek,2,3,0,1059.0,148.0,32.0,1239.0
Highland Park,2,3,0,960.0,174.0,50.0,1184.0
Annandale,2,3,0,997.0,154.0,0.0,1151.0
Canterbury Woods,0,5,0,922.0,128.0,0.0,1050.0
Old Keene Mill,5,0,0,1207.0,202.0,2.0,1411.0
Fairfax Station,4,1,0,1179.0,174.0,0.0,1353.0
Laurel Hill,2,3,0,972.0,156.0,62.0,1190.0
Poplar Heights,2,3,0,1020.0,148.0,16.0,1184.0
Fairfax Club Estates,2,3,0,987.0,144.0,0.0,1131.0
South Run,0,5,0,935.0,132.0,14.0,1081.0
Brandywine,5,0,0,1330.0,236.0,24.0,1590.0
Kings Ridge,4,1,0,1092.0,178.0,0.0,1270.0
Forest Hollow,3,2,0,1044.0,166.0,8.0,1218.0
Shouse Village,1,4,0,959.0,128.0,0.0,1087.0
Sully Station II,1,4,0,904.0,140.0,0.0,1044.0
Stratford,1,4,0,928.0,90.0,0.0,1018.0
Little Hunting Park,4,0,1,1155.0,130.0,14.0,1299.0
Hayfield Farm,3,1,1,1046.0,184.0,18.0,1248.0
Rolling Hills,3,2,0,1093.0,144.0,0.0,1237.0
Truro,2,1,2,1067.0,166.0,0.0,1233.0
Springboard,1,4,0,1016.0,206.0,28.0,1250.0
Rolling Forest,0,5,0,919.0,128.0,0.0,1047.0
Brookfield,5,0,0,1154.5,180.0,0.0,1334.5
Holmes Run Acres,4,1,0,1136.0,178.0,0.0,1314.0
Rolling Valley,3,2,0,1074.0,160.0,0.0,1234.0
Burke Station,2,3,0,1028.5,132.0,0.0,1160.5
Woodley,1,4,0,976.0,148.0,0.0,1124.0
Ilda Community,0,5,0,857.0,108.0,0.0,965.0
Fox Hunt,5,0,0,1357.5,228.0,0.0,1585.5
Herndon,3,2,0,1144.0,178.0,0.0,1322.0
Lake Braddock,3,2,0,1084.5,164.0,0.0,1248.5
Hollin Hills,3,2,0,1073.5,110.0,0.0,1183.5
Long Branch,1,4,0,939.0,150.0,0.0,1089.0
Lincolnia Park,0,5,0,643.5,54.0,0.0,697.5
Daventry,5,0,0,1192.0,200.0,0.0,1392.0
Parklawn,4,1,0,1239.0,196.0,0.0,1435.0
Village West,3,2,0,990.0,108.0,0.0,1098.0
Parliament,2,3,0,969.0,148.0,0.0,1117.0
Commonwealth,1,4,0,953.0,160.0,0.0,1113.0
Broyhill Crest,0,5,0,889.0,102.0,0.0,991.0
Pleasant Valley,5,0,0,1243.0,152.0,0.0,1395.0
Newington Forest,4,1,0,1231.0,178.0,0.0,1409.0
North Springfield,3,2,0,1076.0,140.0,0.0,1216.0
Springfield,2,3,0,918.0,106.0,0.0,1024.0
Pinewood Lake,1,4,0,837.0,96.0,0.0,933.0
Edsall Park,0,5,0,575.0,16.0,0.0,591.0
