,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Little Hunting Park,5,0,0,1236.0,164.0,0.0,1400.0
South Run,4,1,0,1122.0,178.0,0.0,1300.0
Fairfax Station,3,2,0,1175.0,174.0,0.0,1349.0
Arlington Forest,1,4,0,1014.0,144.0,0.0,1158.0
Great Falls,1,4,0,930.0,164.0,0.0,1094.0
Mosby Woods,1,4,0,803.0,112.0,0.0,915.0
Springboard,5,0,0,1246.5,186.0,0.0,1432.5
Fairfax,4,1,0,1144.0,170.0,0.0,1314.0
Riverside Gardens,3,2,0,1042.0,166.0,0.0,1208.0
Camelot,2,3,0,986.0,106.0,0.0,1092.0
Rutherford,1,4,0,953.0,182.0,0.0,1135.0
Fox Mill Estates,0,5,0,848.5,126.0,0.0,974.5
Canterbury Woods,5,0,0,1290.5,218.0,0.0,1508.5
Highland Park,4,1,0,1054.5,154.0,0.0,1208.5
Poplar Heights,3,2,0,1120.0,188.0,0.0,1308.0
Stratford,2,3,0,964.0,128.0,0.0,1092.0
Brookfield,1,4,0,904.5,110.0,0.0,1014.5
Somerset-Olde Creek,0,5,0,920.5,156.0,0.0,1076.5
Rolling Hills,5,0,0,1240.5,224.0,0.0,1464.5
Rolling Forest,3,2,0,1084.5,136.0,0.0,1220.5
Hayfield Farm,2,3,0,1019.0,140.0,0.0,1159.0
Truro,2,3,0,990.0,146.0,0.0,1136.0
Holmes Run Acres,2,3,0,981.0,130.0,0.0,1111.0
Annandale,1,4,0,886.0,134.0,0.0,1020.0
Cottontail,5,0,0,1327.5,202.0,0.0,1529.5
Forest Hollow,4,1,0,1049.0,156.0,0.0,1205.0
Daventry,3,2,0,1073.5,162.0,0.0,1235.5
Mansion House,2,3,0,1016.5,150.0,0.0,1166.5
Shouse Village,1,4,0,1004.0,146.0,0.0,1150.0
Kings Ridge,0,5,0,799.5,118.0,0.0,917.5
Fox Hunt,4,1,0,1160.0,164.0,0.0,1324.0
Poplar Tree,4,1,0,1089.0,190.0,0.0,1279.0
Rolling Valley,3,2,0,1074.0,172.0,0.0,1246.0
Woodley,1,3,1,1002.0,168.0,0.0,1170.0
Sully Station II,1,3,1,965.0,140.0,0.0,1105.0
Laurel Hill,1,4,0,867.0,80.0,0.0,947.0
Parklawn,5,0,0,1451.0,212.0,0.0,1663.0
Hollin Hills,4,1,0,1038.0,140.0,0.0,1178.0
Lake Braddock,3,2,0,1050.0,170.0,0.0,1220.0
Parliament,2,3,0,991.0,150.0,0.0,1141.0
Herndon,1,4,0,873.0,116.0,0.0,989.0
Ilda Community,0,5,0,775.0,102.0,0.0,877.0
Lincolnia Park,5,0,0,1266.0,212.0,0.0,1478.0
Commonwealth,4,1,0,1077.0,138.0,0.0,1215.0
Burke Station,3,2,0,1068.0,180.0,0.0,1248.0
Long Branch,2,3,0,1092.0,170.0,0.0,1262.0
Newington Forest,1,4,0,865.0,98.0,0.0,963.0
Pleasant Valley,0,5,0,737.0,68.0,0.0,805.0
Village West,5,0,0,1279.0,210.0,0.0,1489.0
Broyhill Crest,4,1,0,1179.0,144.0,0.0,1323.0
North Springfield,3,2,0,1241.0,142.0,0.0,1383.0
Springfield,2,3,0,945.0,110.0,0.0,1055.0
Pinewood Lake,1,4,0,634.0,56.0,0.0,690.0
Edsall Park,0,5,0,153.0,6.0,0.0,159.0
