,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Tuckahoe,5,0,0,1204.5,170.0,0.0,1374.5
Chesterbrook,4,1,0,1191.5,180.0,0.0,1371.5
Overlee,3,2,0,1174.0,202.0,0.0,1376.0
Donaldson Run,2,3,0,1102.0,170.0,0.0,1272.0
Highlands Swim,1,4,0,908.0,124.0,0.0,1032.0
Dowden Terrace,0,5,0,717.0,96.0,0.0,813.0
Langley,5,0,0,1214.0,178.0,0.0,1392.0
Crosspointe,4,1,0,1206.0,190.0,0.0,1396.0
McLean,3,2,0,1122.0,150.0,0.0,1272.0
Hamlet,2,3,0,1057.0,176.0,0.0,1233.0
Wakefield Chapel,1,4,0,935.0,136.0,0.0,1071.0
Mount Vernon Park,0,5,0,763.0,116.0,0.0,879.0
Fair Oaks,5,0,0,1225.5,198.0,0.0,1423.5
Little Rocky Run,4,1,0,1071.5,170.0,0.0,1241.5
High Point Pool,3,2,0,1083.0,178.0,0.0,1261.0
Hunt Valley,1,3,1,1019.0,148.0,0.0,1167.0
Vienna Woods,1,3,1,1004.0,126.0,0.0,1130.0
Virginia Run,0,5,0,886.0,132.0,0.0,1018.0
Kent Gardens,5,0,0,1181.0,164.0,0.0,1345.0
Oakton,4,1,0,1218.5,232.0,0.0,1450.5
Vienna Aquatic,3,2,0,1084.5,162.0,0.0,1246.5
Cardinal Hill,2,3,0,1094.0,160.0,0.0,1254.0
Orange Hunt,1,4,0,1012.0,146.0,0.0,1158.0
Sideburn Run,0,5,0,675.0,92.0,0.0,767.0
Old Keene Mill,5,0,0,1319.0,230.0,0.0,1549.0
Mantua,3,2,0,1110.0,200.0,0.0,1310.0
Hiddenbrook,3,2,0,1060.0,134.0,0.0,1194.0
Brandywine,2,3,0,1041.0,144.0,0.0,1185.0
Sleepy Hollow Rec,2,3,0,977.0,138.0,0.0,1115.0
Hunter Mill,0,5,0,774.0,110.0,0.0,884.0
Lee Graham,5,0,0,1204.5,210.0,0.0,1414.5
Virginia Hills,4,1,0,1200.5,168.0,0.0,1368.5
Country Club Hills,3,2,0,980.0,166.0,0.0,1146.0
Lakeview,2,3,0,1052.5,168.0,0.0,1220.5
Walden Glen,1,4,0,869.5,118.0,0.0,987.5
Fairfax Club Estates,0,5,0,925.0,126.0,0.0,1051.0
Pinecrest,5,0,0,1147.5,192.0,0.0,1339.5
Ravensworth Farm,3,2,0,1062.0,162.0,0.0,1224.0
Waynewood,3,2,0,1097.5,123.0,0.0,1220.5
Lakevale Estates,3,2,0,1059.5,123.0,0.0,1182.5
Sleepy Hollow B & R,1,4,0,1017.5,158.0,0.0,1175.5
Villa Aquatic,0,5,0,889.0,164.0,0.0,1053.0
Dunn Loring,5,0,0,1250.0,192.0,0.0,1442.0
Dominion Hills,4,1,0,1204.5,188.0,0.0,1392.5
Greenbriar,3,2,0,1058.0,184.0,0.0,1242.0
Hollin Meadows,2,3,0,959.0,162.0,0.0,1121.0
Sully Station,1,4,0,1060.5,152.0,0.0,1212.5
Fox Mill Woods,0,5,0,709.0,78.0,0.0,787.0
