,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Chesterbrook,5,0,0,1131.0,208.0,664.0,2003.0
Fairfax Station,4,1,0,1098.5,168.0,495.0,1761.5
Tuckahoe,3,2,0,1042.5,168.0,529.0,1739.5
Vienna Aquatic,2,3,0,994.0,146.0,464.0,1604.0
Hamlet,1,4,0,919.0,138.0,328.0,1385.0
Overlee,0,5,0,845.0,120.0,308.0,1273.0
Hunter Mill,5,0,0,1076.0,156.0,238.0,1470.0
Virginia Run,4,1,0,1034.5,168.0,242.0,1444.5
Little Rocky Run,2,3,0,980.5,202.0,332.0,1514.5
Vienna Woods,2,3,0,1019.0,146.0,228.0,1393.0
Sully Station,2,3,0,994.5,136.0,150.0,1280.5
South Run,0,5,0,925.5,152.0,230.0,1307.5
Oakton,5,0,0,1076.5,192.0,248.0,1516.5
Wakefield Chapel,4,1,0,1055.0,174.0,202.0,1431.0
Orange Hunt,3,2,0,1025.5,192.0,250.0,1467.5
Lee Graham,2,3,0,1004.0,178.0,208.0,1390.0
Cardinal Hill,1,4,0,976.0,128.0,92.0,1196.0
Pinecrest,0,5,0,888.0,98.0,62.0,1048.0
Poplar Heights,5,0,0,1113.0,166.0,104.0,1383.0
Donaldson Run,4,1,0,1033.0,204.0,216.0,1453.0
Greenbriar,3,2,0,1040.5,142.0,44.0,1226.5
Sideburn Run,1,4,0,954.5,168.0,180.0,1302.5
Waynewood,1,4,0,915.5,136.0,83.0,1134.5
Dunn Loring,1,4,0,918.5,138.0,18.0,1074.5
Crosspointe,4,0,0,961.0,180.0,252.0,1393.0
McLean,2,2,0,850.0,136.0,212.0,1198.0
Country Club Hills,2,2,0,750.0,142.0,165.0,1057.0
Sleepy Hollow B & R,1,3,0,723.0,120.0,132.0,975.0
Forest Hollow,1,3,0,715.0,118.0,109.0,942.0
Highlands Swim,4,0,0,957.5,190.0,186.0,1333.5
Fox Mill Woods,3,1,0,841.5,146.0,60.0,1047.5
Hunt Valley,2,2,0,811.5,124.0,89.0,1024.5
Sleepy Hollow Rec,1,3,0,760.5,130.0,54.0,944.5
Daventry,0,4,0,644.0,102.0,61.0,807.0
Ravensworth Farm,5,0,0,1217.0,184.0,46.0,1447.0
High Point Pool,4,1,0,1119.0,206.0,89.0,1414.0
Hayfield Farm,2,3,0,954.5,144.0,104.0,1202.5
Riverside Gardens,2,3,0,900.0,140.0,58.0,1098.0
Mantua,1,4,0,948.5,136.0,0.0,1084.5
Mount Vernon Park,1,4,0,882.0,124.0,70.0,1076.0
Kent Gardens,5,0,0,1186.5,208.0,146.0,1540.5
Sully Station II,4,1,0,1081.0,168.0,12.0,1261.0
Brookfield,2,3,0,977.5,124.0,26.0,1127.5
Mansion House,1,3,1,970.0,163.0,28.0,1161.0
Villa Aquatic,1,3,1,924.0,157.0,32.0,1113.0
Langley,1,4,0,913.0,136.0,50.0,1099.0
Cottontail,4,1,0,930.5,158.0,74.0,1162.5
Fairfax,4,1,0,770.5,150.0,78.0,998.5
Herndon,3,2,0,661.5,162.0,0.0,823.5
Highland Park,2,3,0,425.0,186.0,8.0,619.0
Hiddenbrook,2,3,0,464.0,110.0,0.0,574.0
Poplar Tree,0,5,0,200.0,178.0,58.0,436.0
