,Won,Lost,Tied,Points,Division Relays,All-Star Relays,Total Points
Commonwealth,4,0,1,1219.0,196.0,28.0,1443.0
Dominion Hills,4,0,1,1073.5,180.0,0.0,1253.5
Arlington Forest,3,2,0,1024.5,156.0,20.0,1200.5
Rutherford,2,3,0,916.0,152.0,28.0,1096.0
Walden Glen,0,4,0,698.0,134.0,0.0,832.0
Fox Hunt,0,4,0,677.0,114.0,0.0,791.0
Fair Oaks,5,0,0,1093.0,180.0,4.0,1277.0
Dowden Terrace,4,1,0,1114.5,190.0,0.0,1304.5
Annandale,2,2,0,788.0,154.0,0.0,942.0
Kings Ridge,1,3,0,770.0,168.0,28.0,966.0
Lakeview,1,4,0,957.5,118.0,8.0,1083.5
Royal Pool,1,4,0,886.0,116.0,58.0,1060.0
Canterbury Woods,5,0,0,1058.0,202.0,16.0,1276.0
Springfield,3,2,0,1043.0,162.0,0.0,1205.0
Fox Mill Estates,3,2,0,1011.0,174.0,0.0,1185.0
Lakevale Estates,2,3,0,1085.0,146.0,0.0,1231.0
Great Falls,2,3,0,966.0,98.0,0.0,1064.0
Camelot,0,5,0,844.0,122.0,0.0,966.0
Rolling Forest,4,1,0,1097.0,166.0,26.0,1289.0
Rolling Hills,4,1,0,1063.0,108.0,0.0,1171.0
Stratford,3,2,0,1015.0,94.0,0.0,1109.0
Mosby Woods,2,3,0,1028.0,188.0,0.0,1216.0
Truro,2,3,0,920.0,172.0,0.0,1092.0
Village West,0,5,0,898.0,170.0,68.0,1136.0
Shouse Village,4,0,0,930.0,124.0,12.0,1066.0
Fairfax Club Estates,4,1,0,1117.0,226.0,0.0,1343.0
Old Keene Mill,3,2,0,920.0,64.0,0.0,984.0
Woodley,2,2,0,791.0,152.0,10.0,953.0
Springboard,1,4,0,930.5,170.0,0.0,1100.5
Holmes Run Acres,0,5,0,878.5,124.0,0.0,1002.5
Lake Braddock,5,0,0,1150.0,196.0,0.0,1346.0
Parliament,4,1,0,1037.0,166.0,0.0,1203.0
Newington Forest,3,2,0,987.0,124.0,0.0,1111.0
North Springfield,1,4,0,925.0,182.0,0.0,1107.0
Parklawn,1,4,0,984.0,86.0,0.0,1070.0
Ilda Community,1,4,0,875.0,116.0,0.0,991.0
Burke Station,5,0,0,1138.0,168.0,0.0,1306.0
Hollin Meadows,4,1,0,1095.0,188.0,0.0,1283.0
Little Hunting Park,3,2,0,971.5,120.0,0.0,1091.5
Lincolnia Park,1,3,1,946.0,148.0,0.0,1094.0
Long Branch,1,4,0,901.0,138.0,0.0,1039.0
Somerset-Olde Creek,0,4,1,921.5,158.0,0.0,1079.5
Pleasant Valley,4,0,0,916.0,172.0,0.0,1088.0
Brandywine,2,2,0,861.0,154.0,0.0,1015.0
Rolling Valley,2,2,0,798.0,130.0,0.0,928.0
Virginia Hills,2,2,0,781.0,86.0,0.0,867.0
Broyhill Crest,0,4,0,604.0,82.0,0.0,686.0
Edsall Park,4,0,0,858.0,96.0,0.0,954.0
Hollin Hills,3,1,0,765.0,114.0,0.0,879.0
Newington Station,2,2,0,618.0,48.0,0.0,666.0
Bren Mar,1,3,0,663.0,60.0,0.0,723.0
Pinewood Lake,0,4,0,544.0,64.0,0.0,608.0
